[0:00:09] su1ryu30: こんちゃー
[4:59:40] papikopinoo: ゆうこにあげよう
[4:59:43] rrryyyooo1227: タ、タコ
[4:59:43] つかさ0120: タコw
[4:59:46] suzunone_: タコwww
[4:59:46] おるぅくん: ゆうこさんや！
[4:59:51] sinmai_metagurosu: タ コ
[4:59:52] suguraddiction1: 夕コ…？
[4:59:52] Smaat0430: 写真送ってやれ笑
[4:59:52] rrryyyooo1227: 運命だ
[4:59:52] sie911: ガソリンおわっとる
[4:59:53] rnashiro_san: タコさんや！
[4:59:56] kai964: はやく見つかったねw
[4:59:58] chanpon__73: 夕コなんだよ
[5:00:13] ロジーー: 降りたら・・・
[5:00:21] sie911: また走ってる餡ｗ
[5:00:27] nai_ggty: ガソリン入れたらワイヤー必要にならなかったっけ
[5:00:30] fukutoto: ワイヤーキットあったっけ？
[5:00:49] kai964: ランポのカスタムじゃない方のペイント違いかな？
[5:00:54] yukiyukikon: 夕コさんじゃん
[5:00:59] Nightbot: 出来事や発言はすべてロールプレイで起こったフィクションです!指示コメ禁止!鳩コメ禁止!他視点の情報も禁止見かけてもスルーお願いします!
[5:01:06] ロジーー: 積載いくつかな
[5:01:11] Momoume_: ついに真っ黒ケインくんか...
[5:01:19] うな重うな抜き: ちょっとセクシーポーズに見える
[5:01:27] Nightbot: Twitter:https://twitter.com/R6S_guilty
[5:01:44] sie911: ないすー
[5:02:08] mattsun_02: ｗｗｗ
[5:02:08] うな重うな抜き: 禊
[5:02:09] kogekogel: あれはすごかったなー
[5:02:12] 名西遁念: オモロかったw
[5:02:13] muru1113: wwww
[5:02:13] おるぅくん: 神回しかないなw
[5:02:14] xnemichanx: これタコさん欲しそうww
[5:02:16] higurichi: higurichi subscribed at Tier 1. 
[5:02:18] sie911: コラボできたし良かったやね
[5:02:18] cotton73una: 神回でした笑
[5:02:20] ky0to23: めちゃくちゃおもろかった
[5:02:22] Ak2837111: 神回だった
[5:02:22] yukiyukikon: 温度差で熱出たよww
[5:02:24] hatoya0210: 警察来ないと思ってた
[5:02:24] rnashiro_san: 大型レベルの空き巣
[5:02:25] suguraddiction1: 次からはウォチ側に回ってゆっくりできるはず…！
[5:02:27] sinmai_metagurosu: 檻入れられるまではしっかりコント
[5:02:35] jseedv: 空き巣よすぎる
[5:02:38] ロジーー: これでほぼ周知できただろうし一安心って思いましょ
[5:02:43] gg_hi1_mmm006: 空き巣マジでおもろかったｗ
[5:02:48] うな重うな抜き: 温度差がエ↓グ↑い
[5:02:48] cotton73una: こればっかりは会長視点も見て欲しいです笑
[5:02:55] hatoya0210: ガチトーンだったなぁ
[5:03:03] きなこ117: ｗｗｗｗｗｗ
[5:03:05] ロジーー: 空き巣協会知らんだろうしなぁ
[5:03:07] コゲ丸: 会長も頑張ってたなw
[5:03:09] suguraddiction1: www
[5:03:09] おるぅくん: あ＝ね
[5:03:11] hal_8801: ｗｗｗｗ
[5:03:11] sinmai_metagurosu: させてくれなかったなww
[5:03:12] ritusuku_rt: シリアスとギャグが混ざっていた気がするw
[5:03:14] かんでら: 警察は多分ずっとシリアスだよｗ
[5:03:15] fukutoto: オルカだからね
[5:03:18] kuzukiru3: 無理だったw
[5:03:19] Ak2837111: ふたりとも頑張ってたけどダメだったｗｗ
[5:03:20] shise_021: 会長主犯になっちゃったけどどうする
[5:03:20] うな重うな抜き: させてくれなかったね
[5:03:21] sonkun555: 乗り切りたかったな～ｗ
[5:03:22] ky0to23: 無理があるとは思ったよw
[5:03:24] もじろー: 無理だったかｗ
[5:03:26] きなこ117: 激重シリアスパートｗｗｗｗｗ
[5:03:27] Okina_xst: オルカ相手だったからなぁ
[5:03:29] sinmai_metagurosu: オルカ、さぶろーは無理や…
[5:03:30] l_makky: 相手がわるかったｗ
[5:03:31] おーばちゃん: シリアルってあぁ言うの言うんですかね？
[5:03:31] roko04137: ギリギリ分離しちゃった…
[5:03:33] bullchaaa: 相手がねw
[5:03:33] yakkooo630: コントとシリアスがぶつかってたw
[5:03:33] mattsun_02: ちょっとはやかったかｗ
[5:03:34] hatoya0210: 途中「はぁ？」って言われてたもんね
[5:03:34] papikopinoo: 会長が一人で改造したことになってそうw
[5:03:36] おるぅくん: さぶ郎ががんばってかばーしてくれてね
[5:03:37] suzunone_: オルカがガチ勢過ぎたか
[5:03:38] hal_8801: 聞いてないんだよ昨日のこと
[5:03:41] oposo123: こっちはたのしかでた！
[5:03:44] 暴れ鹿: これからも警察相手はシリアスが続くのかな〜〜
[5:03:49] yukiyukikon: いるメンツが許してくれなかった
[5:03:49] kuro00000000000000: 会長に改造の全責任行ったの笑った
[5:03:50] kuzukiru3: オルカの「はぁ？」は怖いよw
[5:03:50] 青なご: さぶろーがフォローしてたねw
[5:03:51] tirutirutulle: シリアルになっちゃった
[5:03:52] はむはむ_: さすがにね
[5:03:52] Momoume_: 相手が悪かったのか
[5:03:54] うな重うな抜き: 警察側の共有が。
[5:04:01] かんでら: 「空き巣は笑顔になる！」で涙出るほど笑った
[5:04:02] ロジーー: 見事に昨日いなかった人がきたもんなぁ
[5:04:06] papikopinoo: 毎回捕まるたび事情聴取されたら笑うw
[5:04:07] shise_021: 会長に全ヘイトが向きそう
[5:04:13] abyss209: ホットドック警察に売りに行ったらシリアスになるのかな？
[5:04:13] sie911: わあーお
[5:04:15] きなこ117: 空き巣は世界を救う
[5:04:16] トマト492: 意志がないRPだから意見言いづらいもんな
[5:04:20] sinmai_metagurosu: 昨日のメンツ1人でも居たら変わったとは思うんだけどね
[5:04:25] がぶ1522: あぶねー
[5:04:26] Okina_xst: あぶな
[5:04:27] kuzukiru3: あぶないあぶない
[5:04:27] fukutoto: オルカは知っていてもそうする
[5:04:30] muru1113: せーーーふ
[5:04:30] うな重うな抜き: あっぶね
[5:04:31] l_makky: これはめっちゃ犯罪楽しんでるところを見せるしかない！！
[5:04:45] azarasi_26: サブちゃんが1番大人だった気もする
[5:04:46] suguraddiction1: 過失割合警察2:ケイン2:音鳴6ってとこか…？
[5:04:47] bullchaaa: さぶろうずるいっす
[5:04:48] shiro_beans: 捕まるたびに毎回になったら逆に笑ってしまうwww
[5:04:54] hatoya0210: 心無きロボットになろう
[5:04:56] 暴れ鹿: 鉄の心で
[5:04:56] Okina_xst: 悪の自我目覚めさせるしかないか
[5:04:56] 白蓮佑1142: 会長頑張ってくれてたもんな
[5:04:57] hakurou_gennkaku_: 暴走するしかない
[5:04:59] うな重うな抜き: 人狼ゲームの狂人？
[5:05:02] Momoume_: ホットドック狂会
[5:05:04] sie911: 胃傷めない程度にね
[5:05:04] c4kun: やっぱレブrpか
[5:05:08] Aizawa_U2: 貫こうwww
[5:05:10] ぱぬたろ: 改造されたとはいえ、犯罪してるケインはいきいきとしてるよ
[5:05:13] 142cms: 取られたお金の額も笑った
[5:05:14] かんでら: ｗｗｗｗ
[5:05:16] うな重うな抜き: もうこっちは風邪引いたよｗ
[5:05:20] diophoenix: 整っちゃったわ
[5:05:20] トマト492: ある意味ホットドッグ信仰している狂人
[5:05:21] shiro_beans: 温度差えぐかったなwwww
[5:05:29] sonkun555: まあ忘れよ
[5:05:34] suguraddiction1: おー！
[5:05:34] Okina_xst: おぉ！
[5:05:34] mochi1519: バーサークモード！
[5:05:38] shiro_beans: いいねぇー！！
[5:05:38] もじろー: ブースティングゴーｗｗ
[5:05:38] Ak2837111: おお！
[5:05:40] rnashiro_san: ブースティングした車の写真コレクションを
[5:05:44] がぶ1522: ここまでホットドッグ犯罪者として有名なレダーが警察側の口から出てきてないのおもろいな
[5:05:48] mamoruall: 仲間と警察で温度差違いすぎるw
[5:05:54] うな重うな抜き: ダブルＴ…違法ダイビング協会…？
[5:06:13] きなこ117: そーなんだ
[5:06:24] suguraddiction1: お荷物はちょっとか
[5:06:33] yukiyukikon: 主犯は店長のはずなのに警察内では会長になってそうww
[5:07:01] わらび犬: ギルくん元気ですか
[5:07:03] sinmai_metagurosu: この車って…あれじゃねーか盗んだやつ
[5:07:06] suguraddiction1: でもこれで会長の名は広がったし…結果オーライ？
[5:07:07] ぱぬたろ: 会長が捕まった時も詰められそうだなぁ
[5:07:09] shiro_beans: 遠いなぁwww
[5:07:15] c4kun: なずみこ犬は一回忘れてるしな
[5:07:35] l_makky: 会長は笑っていてくれるけどなんか心痛くて・・・
[5:07:48] matcha612: 気まづい…
[5:07:57] 白蓮佑1142: 昨日のは楽しかったよなぁ
[5:08:00] うな重うな抜き: レダー店長がとっ捕まった時ものごっついつめられそうではある
[5:08:02] しおらいく: ｗｗｗｗｗ
[5:08:03] ky0to23: がんばれw
[5:08:05] ロジーー: そうやろなぁ
[5:08:05] shiro_beans: wwwwwwwwww
[5:08:06] matcha612: 会長シリアスめちゃくちゃ苦手そうw
[5:08:06] 暴れ鹿: 昨日でねｗｗｗｗｗｗ
[5:08:06] sie911: うん
[5:08:07] yukiyukikon: それはそう
[5:08:07] たこジュン: 突然なシリアスだったしな
[5:08:11] 白蓮佑1142: そらそう
[5:08:11] ぼさつもんじゅ: 機密事項で押し通すかw
[5:08:12] nmk0707: それは思ってたw
[5:08:12] コゲ丸: まあねw
[5:08:13] hal_8801: 昨日でね
[5:08:16] shiro_beans: こっち視点は、それはそうwwww
[5:08:16] 世界を束ねる苺: だよな
[5:08:17] ロジーー: 全然終わってなかったねｗ
[5:08:19] mamoruall: 昨日のやつでめっちゃ綺麗に終わってたのにw
[5:08:19] fukutoto: オルカは何回もシリアスになると思うw
[5:08:19] suzunone_: それはそうwww
[5:08:19] sugar_mixa: 第二回が来るとは
[5:08:20] suguraddiction1: ふーってなった後だからシリアス対応に追いつきにくかったね
[5:08:22] こたみん: これからもまだまだ続くだろうね
[5:08:22] もじろー: 見てた人は皆そう思ってたんじゃないかｗｗｗｗ
[5:08:22] chiyu_09: soune
[5:08:23] matcha612: 甘く見てたかロスサントス
[5:08:26] うな重うな抜き: 温度差ぁ！！！！と、メンバー！！情報共有う！！！の３つがね
[5:08:27] おーばちゃん: それだけ、みんなに愛されてたんだね、、、ケインオー
[5:08:28] syaruaorte: まだ続くとは思いませんやん
[5:08:33] Ak2837111: 第2回来ると思ってなかったｗｗｗ
[5:08:33] しおらいく: まだまだつづきそう
[5:08:36] suzunone_: まさか共有されてないとはwww
[5:08:36] あるふぁか: もう一回くらいはありそう
[5:08:37] さい0602: シロスギです・・・
[5:08:39] sora__123: せやねー
[5:08:39] funsaiman: オルカの動揺エグかった
[5:08:40] hatoya0210: 皇帝とかだと笑えたかもね
[5:08:41] ぱぬたろ: 第3回も来そう
[5:08:42] くらげるん: 相手側のRPの都合もあるから、まだまだひっぱられそうね
[5:08:43] ロジーー: もう1回くらいは覚悟かな
[5:08:44] 名西遁念: 第3回あるかなぁw
[5:08:44] chintao1000: まぁ昨日遅かったし
[5:08:46] 暴れ鹿: まだまだ知らない人いるからな〜
[5:08:46] ky0to23: 色々知ってる観測者としては一悶着あると思ってたよw
[5:08:46] goigo2go3: あと3回くらいはありそう
[5:08:47] hal_8801: ケイン・シロスギを受け入れてない時点で
[5:08:47] shiro_beans: また来たか！空き巣マ？？？ってなると思ってたよwwwww
[5:08:48] kuzukiru3: 対応する人によってはまだあるか
[5:08:50] mattsun_02: 皇帝とか会ってないしもう一回ありそう
[5:08:53] 世界を束ねる苺: 連行時もやばかった
[5:08:53] ta1y4aki: ローズはそんなやったけどね
[5:08:55] Okina_xst: 人が揃ってなくて共有できてなかったのかな
[5:08:55] 10ニキ: 見てる側はマジでおもろいっす
[5:08:55] Momoume_: 警察やめたの？って言われた数だけシリアスありそう
[5:08:56] matcha612: オルカとかは次会った時もありそうだな
[5:08:57] mentaiko_yamada: え？警察やめたの？ってくだりも死ぬほどやったしな
[5:08:58] ロジーー: 今日みたいなレベルはないかもだけど
[5:08:59] おるぅくん: ローズさんは魂知ってるからあるいみ偉いと思うけどなｗ
[5:09:00] ぼちや: シリアス投げ込んでほしくはないよね
[5:09:03] 妖野蓮子: 何回も詰められるのかw
[5:09:04] sonkun555: 情報共有してもらいたいね警察みんなには
[5:09:13] 白蓮佑1142: wwww
[5:09:14] かんでら: ｗｗｗｗｗ
[5:09:16] くらげるん: ｗｗｗｗ
[5:09:16] a_san0207: 今度からは昨日その下りやりましたよでいきましょうw
[5:09:18] suguraddiction1: そのみこだはやられたからなぁ…
[5:09:18] Momoume_: ww
[5:09:19] 暴れ鹿: 昨日いた警察が誰もいなかったのも運命力だねｗｗ
[5:09:21] nmk0707: 再改造ngしとかないと更に続きそうw
[5:09:23] fukutoto: 情報共有しても続くよw
[5:09:24] shiro_beans: 白すぎたかwwwww
[5:09:26] chai_latte3: それぞれの物語あるからなぁ
[5:09:26] うな重うな抜き: 神子田は昨日の知ってるけど、空気読んで黙ってた
[5:09:26] 名西遁念: 警察辞めてホットドッグま？みたいな件は何回もあったからな
[5:09:29] しおらいく: ＲＰしっかり勢相手だともい1ラウンドありそう
[5:09:30] potamossss: あんな服でも警察はまだ心が痛いのかもね
[5:09:35] hatoya0210: そのうち敵対する運命だから
[5:09:37] rnashiro_san: オルカ先輩のお守りだけはインストール済
[5:09:41] おるぅくん: ろうやにみこだいなかったのも
[5:09:44] yukiyukikon: 伊藤先輩もまだ会ってないから大変だ
[5:09:45] こたみん: 面白犯罪してすこしずつなじんでいくしかないか？
[5:09:52] かんでら: それだけ警察ケインオーも愛されてたってことよ
[5:09:52] ロジーー: 昨日ケインがつかまった！を知ってる人は対応がちょっと違ったかもね
[5:09:55] 世界を束ねる苺: ぺいんのターンもあるぞ
[5:09:57] mentaiko_yamada: なんかおちてたな
[5:09:58] ぱぬたろ: ローズさんは笑ってくれそうだったんだけどな
[5:09:58] fukutoto: 後インしていない勢がね
[5:09:59] ky0to23: ガチRPしてる人もいるからね
[5:10:00] ussa1103: 伊藤やばそ
[5:10:06] l_makky: ガチモンのロ・・・いや、ねんでもない
[5:10:07] sonkun555: でもケインオーにもケインオーのRPあるからな…
[5:10:07] yukiru: 空き巣の正装でシリアスはマジでおもろかったw
[5:10:08] swift_horse2: 署長皇帝ぺいん辺りで3回目ありそう
[5:10:08] matcha612: 確かにペインw
[5:10:11] Okina_xst: アニキも何かありそうだなぁ
[5:10:14] ロジーー: ｗｗｗｗ
[5:10:14] sie911: wwwwwwwww
[5:10:15] hal_8801: ｗｗｗ
[5:10:15] 白_白: www
[5:10:16] 薄味さん: 思ってたより警察に愛されていたことに気づかないのもロボットっぽくて好き
[5:10:16] おるぅくん: ｗｗｗｗｗｗｗｗ
[5:10:16] くらげるん: ｗｗｗｗ
[5:10:17] shiro_beans: ミンドリーさんwwwwww
[5:10:17] suzunone_: wwwwwwwwww
[5:10:18] mattsun_02: 心ないから・・・
[5:10:18] Aizawa_U2: wwwww
[5:10:19] syaruaorte: ケインの顔やんけ！
[5:10:19] ぼさつもんじゅ: 軽いんだよねw
[5:10:19] haoteix: ｗｗｗ
[5:10:20] 薄味さん: wwwwww
[5:10:21] きなこ117: ｗｗｗｗｗｗｗ
[5:10:21] matcha612: ミンドリー慣れてそうw
[5:10:22] かんでら: 黄金世代は心無きだからｗｗｗｗ
[5:10:22] たけもにすと: ガチノンデリ
[5:10:23] ruterute_016: wwww
[5:10:23] kuzukiru3: ペインでもう1回あるなww
[5:10:23] nmk0707: なれてるからねw
[5:10:24] 珈琲ムース: www
[5:10:24] うな重うな抜き: ミンドリーさんはね。経験済みやから
[5:10:24] Momoume_: あれノンデリでわろた
[5:10:25] sinmai_metagurosu: ドリさんだなぁ本当ww
[5:10:25] りっちゃん227: wwwwww
[5:10:25] 世界を束ねる苺: こころなき
[5:10:25] 志岐_月影: ドリーさんは知ってたとか？w
[5:10:26] mamoruall: いっちゃん心無きやった
[5:10:27] sekishu_inu: ミンドリーさん慣れてるもんなぁ
[5:10:27] sonkun555: 顔ケインやん！ゆうてたなｗ
[5:10:28] ぽたろ0622: ケインやんけーその顔〜やったしなぁ
[5:10:28] m1zukiryu: www
[5:10:28] Ak2837111: 顔ケインやん出てて笑った
[5:10:29] ky0to23: あのブレなさがいいw
[5:10:29] swift_horse2: ケインの顔やんけｗｗｗ
[5:10:29] 逢碧: www
[5:10:30] hatoya0210: あの人感情ないだろ
[5:10:30] suguraddiction1: みんどりーさんはああいうところがみんなから好かれてるんだろうなぁって
[5:10:31] chai_latte3: あそこ本当に笑った
[5:10:32] reichikin: 普通に言ってたねw
[5:10:32] moko0306: ケインやん（ヘッショ）
[5:10:33] shiro_beans: あれ、めっちゃ笑ったwwwww
[5:10:33] にこにここ: おもろかったなぁ
[5:10:34] sie911: まるんも気づいてそうだったね
[5:10:34] きなこ117: ノンデリー
[5:10:35] chintao1000: それでヘッドショットよ
[5:10:35] l_makky: 上官はさらっとしてるのね
[5:10:35] ロジーー: 警察辞めますに伝えた人だったのにｗ
[5:10:35] sakana_857: まじで心無きだったww
[5:10:36] ぱぬたろ: ドリーさんは心無き入ってる
[5:10:36] 犬山いぬお: 黄金世代は闇堕ち慣れしてるから…w
[5:10:37] 10aoba: 久しぶりーみたいなテンションなんだよｗ
[5:10:38] メイフ: ミンドリーさんはもう心無きだからwwww
[5:10:38] suzunone_: 黄金世代は心無きww
[5:10:39] chanpon__73: 噂をすればなんとやら…か笑笑笑
[5:10:39] くらげるん: さすが心無き代表
[5:10:40] しの_93: 多分黄金世代はぺいん以外軽く終わるw
[5:10:40] tokinoli: 頭狙ったらケインやん
[5:10:40] fukutoto: ノンデリーw
[5:10:41] Okina_xst: ミンドリーさんは慣れてるから
[5:10:43] nai_ggty: 上官ほど警察やめてもいいと思ってるだろうね
[5:10:45] しおらいく: 黄金世代さっぱりタイプ多いからねｗ
[5:10:45] 暴れ鹿: 上の人たちは人がいなくなるとかに慣れてるのかね
[5:10:45] omoti_sazi: みんなが違うかもしれない…！って言ってる中の「その顔ケインやん」はなｗ
[5:10:45] Momoume_: 最高だった
[5:10:46] おるぅくん: となりでえびすくんが否定してるのもおもろかったw
[5:10:47] がぶ1522: ミンドリーはらだおに次ぐこころなきだからなぁ
[5:10:49] yukiyukikon: ミンドリーさんはまぁ…場数踏んでるし…
[5:10:52] たけもにすと: 対応わかんなくなったらスリープモードになってもいい
[5:10:52] ぱぬたろ: アニキとぺいんがやばそう
[5:10:57] はむはむ_: ケインの顔みて速攻あたまをぶち抜いたからねぇ
[5:10:59] yozakura0515: あれが長く続けるコツなのかもしれない…
[5:10:59] kurotaka_1212: 闇落ちに慣れてる心無きだったww
[5:11:00] chai_latte3: みんなが「うっ…」ってなってるのにw
[5:11:02] bullchaaa: さすが上官なだけある
[5:11:02] alt123h: まだ分かんないから！にそれえぐすぎた
[5:11:03] mentaiko_yamada: えびす「まだわかんないから！」みんどり「お、ケインやん」
[5:11:03] vivi_4n47: 辞める時もすんなり受け入れてくれたしねぇ
[5:11:04] yakkooo630: 黄金世代はぺいん以外心ないからなあ
[5:11:05] sie911: 重くされると困るね
[5:11:08] うな重うな抜き: ノンデリヘッショ
[5:11:11] にこにここ: たしかなあー笑えるぐらいがちょうどいい
[5:11:14] panpanda5533: あそこら辺の世代以前は闇落ち慣れてるんかもね
[5:11:15] かんでら: ｗｗｗ
[5:11:15] sakana_857: 横でえびすくんがパニックなってたのがまた良かった
[5:11:19] ロジーー: DoubleTをさがせ
[5:11:20] ロジーー: あった
[5:11:21] hatoya0210: 夢に出そう？
[5:11:22] あまちゃちゃ: 心無きにならんとやってられないか
[5:11:22] りっちゃん227: あれは面白すぎた
[5:11:31] nmk0707: えびすとの温度差おもろかったw
[5:11:32] ロジーー: バイク
[5:11:32] 志岐_月影: 警察って辞めづらいところか
[5:11:33] chai_latte3: えびすくんの脳破壊していこう
[5:11:33] 暴れ鹿: ぺいんに捕まったらまた一悶着ありそうだね
[5:11:33] ときわ31: 合う合わないはある
[5:11:33] rnashiro_san: ナンバーなさそう、今の
[5:11:36] 薄味さん: 視点で物語違うのが面白い
[5:11:52] ロジーー: ナンバー無いのか
[5:11:53] shiro_beans: 人のものか？
[5:12:02] おるぅくん: ペインも残ってるまだw
[5:12:05] yukiyukikon: アニキ、ぺいん、皇帝はまだ一波乱あるだろうな
[5:12:09] むううううううう: それにしてもあのシーンは格好に笑う
[5:12:16] matcha612: 会長もシリアスまだ続きそうでw
[5:12:17] うな重うな抜き: 伊藤ぺいんと皇帝と銀河一アニキか。
[5:12:32] akashiyki: それ含めてオモロい
[5:12:33] hatoya0210: ドラマがあったっていい
[5:12:34] しおらいく: さぶちゃんがいいあたりでそういうことなのねってきりつけてくれたのよかった
[5:12:36] juny_rd: よりによって空き巣でｗ
[5:12:39] きなこ117: 物語も動くしねえ
[5:12:39] suguraddiction1: けど空き巣との組み合わせには合わなかった…w
[5:12:41] 名西遁念: ドリさんは心なきすぎて逆にシリアス出来ないのかも
[5:12:42] たこジュン: シリアスは適度でいい…温度差で風邪ひく
[5:12:42] matcha612: アニキどーなるかな
[5:12:43] sonkun555: でも一旦空き巣の時じゃないか
[5:12:43] l_makky: なかなか騒ぎそうだけど、そこまでドシリアスにはならなそう
[5:12:45] うるち117: 何事もタイミングだとおもった
[5:12:45] jseedv: 空き巣がww
[5:12:47] ぱぬたろ: ほどほどのバランスが欲しいよね
[5:12:48] がぶ1522: とりあえず会長いた結果シリアルになってファンが故障しないように気をつけないとね
[5:12:48] 暴れ鹿: シリアスでガンガンRP楽しんで欲しいｗｗ
[5:12:49] Smaat0430: ただあの場面ではなかったな笑
[5:12:49] ロジーー: さぶろーちゃんの「ケイン今楽しい？」はちょい刺さりです
[5:12:53] はむはむ_: 空き巣からはちょっと・・・
[5:13:05] sie911: 大型ならまだね
[5:13:05] うな重うな抜き: 大型で捕まるならまだしも、ねｗｗｗ
[5:13:09] ロジーー: ギャップえぐかったな
[5:13:14] 暴れ鹿: ｗｗｗｗｗｗ
[5:13:14] きなこ117: 罰金は大型
[5:13:15] shiro_beans: シリアス場面で空き巣の服装が面白すぎたwwwww
[5:13:15] 志岐_月影: 早かったかw
[5:13:16] matcha612: 早かったかw
[5:13:16] suguraddiction1: やっぱり会長はもってるなぁ
[5:13:17] nolhsri: 空き巣は早かったね
[5:13:17] もじろー: 白装束シリアスはちょっとな…ｗ
[5:13:18] 白_白: 渋滞しすぎてたww
[5:13:18] mentaiko_yamada: 空き巣なのがwww
[5:13:20] Ak2837111: でも空き巣やりたかったんや！
[5:13:20] ぼちや: 空き巣は最大の面白犯罪なのに、、、
[5:13:21] gg_hi1_mmm006: ｗｗｗ
[5:13:21] がぶ1522: 空き巣は80%捕まるからなぁ
[5:13:22] ky0to23: ギャップはえぐすぎたw
[5:13:24] 1nooosee0507: 空き巣大型でした
[5:13:25] あまちゃちゃ: 今じゃない感があったwww
[5:13:26] kaburagi104: そんな事はないよ
[5:13:27] あるふぁか: あの格好でシリアスになるのえぐいw
[5:13:28] トマト492: 空き巣に激重RPだったからギャップがねｗ
[5:13:29] memem3_: 笑顔になった
[5:13:29] うるち117: あの格好でシリアスははずいね
[5:13:30] ももいさん: 相手はわからんからね
[5:13:30] chai_latte3: 早かったかww
[5:13:32] しおらいく: いったん会長タイミングまずかったかｗ
[5:13:33] sie911: そうだねｗ
[5:13:33] fukutoto: 忙しい時ならね
[5:13:34] kaitendai: 今後は動きやすくなるよね
[5:13:36] ぱぬたろ: なんか渾身のギャグが滑った感じだわ
[5:13:37] mentaiko_yamada: 昨日のはドラマできてたけどなw
[5:13:38] matcha612: 空き巣でプリズン面白すぎるw
[5:13:38] iroha010: 空き巣は超大型なんだね
[5:13:41] ときわ31: 警察に全部バレてからの方が楽しめそう
[5:13:41] くらげるん: まだ時間が必要だったかｗ
[5:13:41] l_makky: 飛行場であれぐらいのドシリアスならまぁ
[5:13:42] sonkun555: 空き巣最高だったよｗ
[5:13:43] akashiyki: 会長が色々言うから悪化したしwww
[5:13:44] 10aoba: あんな真っ白な恰好でシリアスは笑うしかない
[5:13:47] 神岡さん: ノリが切り替えられんw
[5:13:50] ruabu: せめて準重強盗
[5:13:53] きなこ117: まあもう周知されたでしょうｗｗｗｗ
[5:13:56] 志岐_月影: でも空き巣良かったよ！
[5:13:56] おるぅくん: ｗｗｗｗｗｗ
[5:13:56] sekishu_inu: 会長バラしまくったのがおもろかった
[5:13:57] kai964: バイクはナンバーないやつあるよ、ロックされてる時もあるしさっきので合ってるはずw
[5:13:58] ロジーー: いや4日間捕まらなかったのが・・・
[5:13:58] abyss209: でも俺は腹が捩れるくらい笑ったよ
[5:13:59] fukutoto: 警察が完全にチル状態だったし
[5:14:00] shone310: 車種調べよ
[5:14:00] Aizawa_U2: 警察もいつか空き巣で笑顔にしよう
[5:14:01] nmk0707: 空き巣は大型だったかw
[5:14:01] hatoya0210: イヤリングがいいスパイスだったよ
[5:14:05] ぼちや: 一周回ってリアルかもしれん
[5:14:09] gg_hi1_mmm006: トッピング全部乗せだったｗ
[5:14:09] shiro_beans: 面白かったよwwwwwww
[5:14:13] yukiyukikon: 黒になってwktkの勢いで空き巣行ったらシリアス続いた件
[5:14:13] sinmai_metagurosu: 乗ったら車両名前出るんだっけ？
[5:14:14] Ak2837111: しなしな…
[5:14:15] にこにここ: 二郎系RP
[5:14:15] しおらいく: ひと笑いを求めたがために…ｗ
[5:14:16] 名西遁念: たぶんなかなか捕まらなかったからw
[5:14:17] sie911: 誰かとろうとして鍵しまった？
[5:14:19] 暴れ鹿: 「再改造は出来ない」が周知されるまでは大変そうだね
[5:14:21] sumi025: 警察内で、そーいえばケインオー空き巣で捕まってたなって言われるのなんかwww
[5:14:25] matcha612: 声変えてたのからあんな展開待ってるとは
[5:14:26] kazaneshin: オルカの失望したような口調が刺さったなぁ
[5:14:36] kogekogel: かっこよ
[5:14:41] ロジーー: 見た目もそれっぽいんだけどなぁ
[5:14:45] hyumnkel: はえー
[5:14:46] くらげるん: 再改造の可能性残ってるから警察もあきらめきれないね
[5:14:48] 志岐_月影: 警察のRP入っちゃったから濃くなったよね
[5:14:53] あまちゃちゃ: ほーん
[5:14:57] うな重うな抜き: 喫茶マウンテンの甘パスタ極大盛りとイタリア料理位の差がありすぎた
[5:14:58] shiro_beans: ほぉー！鍵つきか！
[5:15:02] にこにここ: ランクで変わるのか
[5:15:06] sekishu_inu: もう改造できないのがね
[5:15:12] ロジーー: ここまできて再改造は色んな意味で無理よね
[5:15:30] hyumnkel: やりたいことやってほしい
[5:15:30] ロジーー: 見てる側は期待したいだろうけど・・・
[5:15:44] shiro_beans: 家便利やな
[5:15:48] l_makky: 改心させる系の改造しようとしたら「これ以上改造したら壊れますよ」って良心を破壊
[5:15:52] おるぅくん: プレーンのホットケーキ頼んだつもりがホイップ二倍盛りみたいなやつ気たイメージｗｗｗ
[5:15:56] suguraddiction1: plの意思とpcの意思の区別をやりにくいのがRPの欠点…
[5:15:56] ぱぬたろ: 警察に拉致されないよね？さすがに
[5:15:57] うな重うな抜き: 警察側はまだ戻せるという希望を幻視しちゃってるかもね？
[5:16:03] 1nooosee0507: 空き巣exzを入れたのは会長 犯罪exzを入れたのが店長だしな
[5:16:22] ozp09: 再改造で再度警察は流石にむりｗｗ
[5:16:37] くらげるん: まあ、時間が解決するかな
[5:16:39] shiro_beans: ブースティングってバイクもあるんやなぁ〜
[5:16:42] hyumnkel: ゼンカモンには違いないからね
[5:16:44] yukiyukikon: 間違いなく警察に無駄な希望を与えた会長、悪い男だ…
[5:16:47] suguraddiction1: ですねぇ
[5:16:49] がぶ1522: 一応再改造されてもウィルスバスター入ってるから無駄ですよっていう選択肢は取れるからなぁ
[5:16:51] うな重うな抜き: ホットケーキ頼んだら豚骨ラーメンが出てきちゃったアンジャッシュ
[5:16:52] l_makky: ロボットですから
[5:16:52] くらげるん: あーね
[5:16:55] alubeel: 依頼受注系は人助け扱いでいけんか？
[5:17:02] begasenpai: 警察とか他のギャングに改造されたら抗争になるからやらないんじゃないかな？
