[0:00:24] poopvoov: ดีครับลุง
[0:23:07] parnurutdew: เสียใจจัง ผมรักเเมวมาก
[0:23:10] ty_saorkone1722: ไปลุงมันต่อครับ
[0:23:11] TAYCAMEL: แล้วซ่อมนี่เปลี่ยนกันชนเลยหรือโป้วเก็บสีเอาครับพี่
[0:23:11] dome_zazaza: ขอให้ผ่านปีนี้ก่อนนะลุง เรื่องขับรถเร็ว
[0:23:13] 3dherobro: แมว/หมาไม่ เบรก ก้ ยอมชน ครับ ผมก้นั่งร้องให้ของแมวกับแฟนมาลเ
[0:23:14] omgb1_007: ไม่เปนไรคับลุงมีสติอ่ะดีแล้วถ้าหักหลบรถอาดจะพริกคว้ำได้
[0:23:15] aosoti: อย่าลืมทำบุญนะลุง
[0:23:15] my_rorikon: ผมนับถือศาสนา money
[0:23:23] ty_saorkone1722: ทำบุญให้น้องแมวครับ
[0:23:24] masknok: ทำบุญให้อาหารแมวจรแมวยากไร้ครับ
[0:23:26] tuatorbanana: ลุงขี่จักยาน แทนได้มั้ยครับ เป็นห่วง
[0:23:26] lilsamemousxi: หักหลบเผลอๆรถหมุนด้วยหนักเลยนะ
[0:23:28] siwat2540: ทำบุญบ่อยน่ะลุง จ่ะได้สบายใจ
[0:23:28] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:23:28] arm_garak: ทำให้ตัวเองด้วย ผมไม่เคยทำบุญสองสามปี ปีที่แล้วรถล้ม รถชน ชนหมาในเดือนเดียวกัน แล้วก็ทำบุญทุกวันนี้เวลาออกไปไหนรู้สึกสบายใจขึ้นมาก
[0:23:30] CheckerDabX: นับถือความคิดตัวเอง
[0:23:34] x_armreds_x: ผมนับถือศาสนา หมี
[0:23:34] authan15: นับถือซาตาน
[0:23:37] 42OOG_: เอาดี
[0:23:39] my_rorikon: แต่หวังว่าแมวจะรอด
[0:23:41] chibs_telfordd: ช่วงนี้อย่าขับรถเร็วน่ะลุง ขับช้าๆจะได้ปลอดภัย
[0:23:41] realcap4444: babyju8Jukuu
[0:23:44] RONGKATEPJR: ชึวิตนึงอะครับ
[0:23:45] ThoMasX_1999: ศาสนาเมียคับลุง
[0:23:46] faknaakub: เชื่อในวิทยาศาสตร์แต่ไม่ลบหลู่
[0:23:52] Atthaponr: สกอเท่าไหร่ครับ
[0:23:52] jgcnifckkhg: แมวตัวละ500k
[0:23:56] new_sparrow: ผมก็มีแมวตัวนึงนะลุง ผมรักแมวตัวนนี่มากคับ ผมไม่ให้ออกจากบ้านเลยคับ
[0:23:57] JN_nipaporn: ขับรถอย่าไวเกินนะลุง
[0:23:57] TAYCAMEL: ฟาดเคราะห์ครับพี่ มันเป็นรางตั้งแต่มีคนทักพี่แล้ว
[0:24:02] film_1248: 39
[0:24:07] q_cupid: ห๊ะ
[0:24:09] B2er1608: น้องไปวิ่งเล่นดาวน้องแล้ว
[0:24:11] barosstvz: ลบลู่ก็ไม่เป็นอะไรหรอก ผมนิพูดใส่หมดทุกอย่าง ดูถูกหมด ไม่เห็นเป็นอะไรเลย
[0:24:13] Night_Hawk_Tv: แมวพันธุ์อะไรคับ
[0:24:21] parnurutdew: เจ้าของเขาคงกังวลเรื่อง รับผิดชอบ
[0:24:24] tanatutttt: นับถือซาตานดีกว่าลุง
[0:24:25] glofe2548: @atthaponr 27ต่อ11ค้าบ
[0:24:26] Atthaponr: ตอนนี้นำอยู่เท่าไหร่
[0:24:26] JN_nipaporn: ปีชงป่าวลุงปีนี้
[0:24:29] nobi_nobita_: ผมเลี้ยงชิวาว่า ออกจากบ้านมาทำงานสักพัก หมาออกมาขี้แล้ววิ่งตามหมาใหญ่โดนมอไซเหยียบตายหน้าบ้าน
[0:24:30] mj24476: BibleThump
[0:24:37] linbabu435: พันลำ
[0:24:38] faknaakub: สีขาวส่วนมากน่าจะ เปอร์เซียมั้ง
[0:24:38] siggakorn: ขนยาวมั้ยครับ
[0:24:39] nonaem8858: ขนฟูมั้ยคับ
[0:24:42] 4ugusz: พันลำป่าว
[0:24:43] nooknahee_: RBZ
[0:24:45] peetkf: ขนฟูมั้ยลุง
[0:24:46] safesatan: ขาวมณีป่าว
[0:24:49] siwat2540: อย่าขับรถเร็วน่ะวันเกิดอ่ะ
[0:24:52] rewatsank: ปีชงป่าวลุง
[0:24:53] ty_saorkone1722: ผมก็แบบลุงเลยครับแต่ไม่ได้ ลบลู
[0:24:53] x_armreds_x: แมวพันลำ
[0:24:56] 3dherobro: ผมชน แมวจร ผมอุ้มแมว ไปฝัง ยืนร้องให้กับแฟนเหมือนกัน หักหลบผมคงเจ็บ
[0:24:59] film_1248: แมววัด
[0:25:00] STARiiX_24: เสียใจด้วยนะครับ อุบัติเหตุ เป็นเหตุที่เกิดขึ้นโดยที่เราไม่ได้เจตนา
[0:25:00] phonepasith_bo: มีรูปแมวไหม
[0:25:01] badvibeeiei: แมมวไทยอะหรอ
[0:25:01] chibs_telfordd: ผมรักแมวด้วย BibleThump BibleThump
[0:25:03] tanxcarbon: เเมวจรเเหละ
[0:25:06] kanisorn998: ก็คือ แมวนั้นแหละ55555
[0:25:06] phanuwat2006: รั่วจริงพันรำ
[0:25:08] soart_tnp: แมวจร
[0:25:09] neochoq: ถ่ายรูปด้วยก็ดี จะได้หาเจ้าของง่าย
[0:25:09] aosoti: สก๊อตติดป่าว
[0:25:09] tuatorbanana: คิดสะว่าฟาดเคราะห์ไปครับ
[0:25:09] M1ike413: ต้องเห็นรป
[0:25:10] aladdin_walker: มี1วิธีครับลุงที่ลุงจะรู้สึกดี คือช่วยฝังหรือ ช่วยเฝาน้องลุงทำพิธี ส่วนตัวผมวิธีนี้ทำให้สบายใจได้ระดับนึงครับ
[0:25:12] i_na_foolish: แมวจรแน่
[0:25:12] anurak9999: ฟาดเคราะห์ ทำบุญคับลุง อย่าคิดมากคับ สู้ๆคับคุณลุง
[0:25:13] naringsak_bas: ผมรักเมียชาวบ้าน
[0:25:14] artwoii: เอาน้อนไปฝังหน่อยมั้ยลุง
[0:25:14] ThoMasX_1999: ถ้าเจ้าของเค้าปล่อยออกมาข้างนอกได้ ก็คงรับความเสี่ยงสำหรับเรื่องนี้พอสมควรเลยคับลุง
[0:25:16] jameboyband: น่าจะก้านยาว
[0:25:17] dome_zazaza: มีปลอคคอ แชทเอ่ย
[0:25:17] Night_Hawk_Tv: มีปลอก คอ รึป่าว
[0:25:18] mj24476: คนรักแมวฟังแล้วหดหู่มาก BibleThump
[0:25:18] Khawplauxk_: แมวไทย มีปอกคอ
[0:25:23] beartn08: น่าจะขาวมณี
[0:25:32] x_armreds_x: เขาก็บอกอยู่ว่ามีปอกคอ
[0:25:33] safesatan: ขาวมณีบ้านผมเลี้ยงอยู่เหมืนแมวทั่วไปแต่สีขาวจั้วะเลย
[0:25:34] 3dherobro: คนรักสัตว์ เข้าใจอาร์มดี
[0:25:43] tanatutttt: ถ้าสก็อตติสนี้ราคาเท่าซ่อมgtrเลยนะ5555
[0:25:48] tuatorbanana: เส้นทาง ลูกผู้ชายมันต้องมีตายมีเจ็บกันบ้าง
[0:25:56] oilsararat: หนูก็เคยเป็นขับมอไซค์แมวชอบกระโดใส่รถรถจะล้มตลอดขนาดขับช้ามากๆกระโดดทุกวันในซอยบ้านแมวมีเจ้าของแท้ๆ
[0:25:57] ThoMasX_1999: @tanatutttt ไม่ถึงค้าบ
[0:26:03] JAK25261: พรุ่งนี้บิด
[0:26:05] B2er1608: ลุงคิดได้แบบนี้โคตรชื่นใจเลย
[0:26:05] onestep34: @tanatutttt ไม่ถึงเวอร์ไปครับ
[0:26:09] slowsoslesp: หวัดดีน้าบบ
[0:26:10] ty_saorkone1722: ไม่ได้ดูลุงละผมเหงา
[0:26:14] badvibeeiei: ระแวง
[0:26:15] chain_cp0: ค่าซ่อมรถก็เจ็บเหมือนกัน
[0:26:15] TAYCAMEL: มันจะระวังเป็นพิเศษ
[0:26:15] artwoii: เอาไปฝังหน่อยลุงจะสบายใจขึ้นเลยนะ เชื่อดิ
[0:26:16] chibs_telfordd: ถือว่าฟาดเคราะห์ไปลุง ช่วงนี้ขับรถอย่าเร็วน่ะลุง เป็นห่วงง PansexualPride PansexualPride
[0:26:20] bangmeen_stp: ใจเสียจริงลุง
[0:26:21] Qxx4455: ได้กี่วันลุงงงงง
[0:26:22] M1ike413: เหมือนกัน ครับ ผมก็เป็น
[0:26:23] RONGKATEPJR: ดี ไม่เป็นเด็กวิ่งมาครับ
[0:26:23] JN_nipaporn: ดีแล้วลุงเซฟตัวเองด้วย
[0:26:29] pmosza365: ดีแล้วลุง
[0:26:29] CheckerDabX: อาการเเพนิค
[0:26:30] slowsoslesp: แพนิคหร อ
[0:26:34] boy_dekwad: ดีแล้วลุงอย่าประมาท
[0:26:36] benzoyl546: rebirthztvRun
[0:26:39] bangmeen_stp: ใจมันเสียจริงนะเวลาแบบชนอะไรแบบนี้อะ
[0:26:40] oilsararat: ลุงแพนิคไปแล้ว
[0:26:41] rathasas122: แพนิคลุง
[0:26:43] TAYCAMEL: แสดงว่าทุนเดิมพี่เป็นคนขับรถเร็วมากๆ
[0:26:49] ggzz_5: จิตตก
[0:26:50] ty_saorkone1722: ขับรถช้าๆหน่อยนะครับลุงเป็นห่วง
[0:26:51] safesatan: ถ้ามีอะไรตัดหน้าอย่าหลบครับให้ชนเลย
[0:26:53] koaweerachat: ดีแล้วลุงอุบัติเหตุเกิดตอนไหนไม่มีใครรู้
[0:26:56] 3dherobro: เข้าใจดี ลุงรักสัตว์ ทั้งบ้าน
[0:26:59] chibs_telfordd: ดีแล้วลุงง ไม่ประมาทดีแล้วครับ
[0:27:03] new_sparrow: ลุงไม่ต้องคิดมากกหรอคับ เรื่องนี่เราจะ ผ่านไปด้วยนะคับลุง
[0:27:03] badvibeeiei: เราคนเลี้ยงสัตว์เป็นธรรมดาอยู่แล้วพี่ ที่จะใจเสีย
[0:27:04] SleepSteps: เพราะก็เป็นยุอะ แต่ผมมอไซต์ล้มทางโค้ง เพราะประมาท
[0:27:05] infybytv: kustardth subscribed at Tier 1. They've subscribed for 13 months! ดีแล้วครับลุง
[0:27:06] sevensix67_: ผมก็เคยเกือบเกิดเหตุแบบนั้น เพราะแมววิ่งตัดหน้ารถตอนขับ120 แล้วหักหลบเกือบคุมรถ ไม่อยู่ครับ
[0:27:06] soart_tnp: เอาหน่าเดี๋ยวก็กลับมาเป็นปกติจากใจคนที่เคยขับชนคน
[0:27:08] suphamit1995: suphamit1995 subscribed at Tier 1. They've subscribed for 12 months! 1ขวบแล้วค้าบ ลุงเลิฟ
[0:27:09] Qxx4455: ดีแล้วลุงไม่เป็นคน
[0:27:10] parnurutdew: รถพี่มีประกันไหมครับ
[0:27:11] dexterx66: ดีแล้วลุงอย่าน้อยเรารักชีวิตมากขึ้น
[0:27:12] Diw_Trd: เก็บไว้เตือนใจครับ
[0:27:17] NoBitahub: เงินหาเมื่อไรห่ก็ได้ เเต่เรื่องเเบบนี้ มันก็อุบัติเหตุ
[0:27:18] l3oomas014: เข้าใจครับ ผมก็เคยชนครับแต่ผมเป็นหมา ตาย2 ตัว
[0:27:27] tuatorbanana: ทามมิ่งครับ
[0:27:27] iamjergulaw: พักขับเลยลุงนั่งอัลพาดให้เจ๊ขับแทนไปก่อน
[0:27:34] i_na_foolish: ใจเย็นๆก่อนลุง
[0:27:38] hee_mencrown: ดีแล้วครับลุง เมื่อก่อนผมก็เป็นคนขับรถเร็ว พอเจออุบัติเหตุ หลังจากนั้นผมเป็นขับรถช้าลง และไม่ประมาท เลือกเหยียบเบรคมากกว่าคันเร่ง
[0:27:44] nine7913: ทางที่ดีสุดขับตามกฎหมายครับลุง
[0:27:46] Aekphon1997: Aekphon1997 subscribed at Tier 1. They've subscribed for 17 months! 
[0:27:51] TAYCAMEL: เรื่องเบรคมันเบรคอยู่แน่ๆครับเอนเลสนะนั่น แต่จังหวะนั้นมันไม่คาดคิด
[0:27:56] GIIUL3: ลุงไม่รู้หรอกคะฟว่าจะเกิดอะไรขึ้นถ้าหักหลบ ลุงอาจเกิดอุบัติเหตุที่ใหญ่กว่านี้ก้ได้
[0:27:58] sittichaipk115: แต่ถ้ารถมอไซร์อันตรายมากครับลุง
[0:28:01] lilsamemousxi: เวลานั้นก็ต้องขับไวเป็นธรรมดาครับไม่มีใครขับเรื่อยๆหร่อกครับตามความเป็นจริง
[0:28:14] zonicda: 5แสน สำหรับผมนี้นั่งเครียด พลัง
[0:28:18] kanisorn998: ขนาดมองยังไม่ทันเลย
[0:28:23] nqyi184810: มีไรหรอครับ
[0:28:23] TAYCAMEL: ฟาดเคราะห์ครับพี่สู้ๆ
[0:28:24] ty_saorkone1722: ทุกคนต้องผ่านจุดนี้ไปครับลุง
[0:28:26] Khawplauxk_: รู้ไงไม่เท่ารู้งี้
[0:28:28] basmin58: ถ้าไม่ได้ทำไร ก็นั่งคิดเรื่องนั้นอยู่ตลอด😔
[0:28:29] exilesz55: บทชีวิต
[0:28:30] lilsamemousxi: ไม่มีใครอยากให้เกิดหร่อก
[0:28:30] ThoMasX_1999: แมวชอบวิ่งพุ่งใส่รถคับ อย่าคิดมากคับลุง
[0:28:31] icejuekns: เส้นสาย5มันมืดด้วยครับแล้วยิ่งดึกๆไม่มีรถด้วย
[0:28:32] nick_0513: รถซ้อมได้แต่ชีวิตซ้อมไม่ได้
[0:28:33] nqyi184810: ลุงมีไรหรอครับคนดู
[0:28:39] sevensix67_: ใช่ครับ ต่อจากนี้ทำได้คือ ต้องตั้งสติก่อนขับรถ ครับ ผมก็จากขับเร็วกลายเป็นคนเริ่มขับช้าแล้วครับ
[0:28:41] dataaaaaa6: อะไหล่รถซ่อมได้คับ อะไหล่น้อนแมวซ่อมมัยลัยยยย🥺
[0:28:42] ggzz_5: ถ้าเราเบรคอ่ะมีโอกาสหนักกว่านี้
[0:28:46] aonzii44: คนขับรถจิงเบรคกะทันหันไม่ทัน
[0:28:51] nqyi184810: ลุงมีไรหรอคัง
[0:28:52] tuatorbanana: ถ้าเห็นอาจหักหลบ หรือเบรค เกิดอุบัติเหตุได้ครับ
[0:29:20] GIIUL3: @tuatorbanana ใช่คัฟ
[0:29:21] film_1248: ไปอีก2
[0:29:22] onestep34: พอๆแชทดูเกมส์ดีกว่า
[0:29:26] kampanat_1: พอไปหยุดพูดเถอะ เดี๋ยวลุงเครียด
[0:29:26] ramsix_: ramsix_ subscribed at Tier 1. They've subscribed for 21 months! ดีครับพี่ชาย
[0:29:38] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:29:40] iamjergulaw: ขี่เน้นเท่ดีกว่าจุนลุงเท่ๆให้คนมอง
[0:29:41] ggzz_5: มีโอกาสรถหมุน
[0:29:46] ty_saorkone1722: ผมว่าหน้าจ่ะได้ย้ำ
[0:29:51] i_na_foolish: ทุกวันนี้ลุงกินยาทุกวันแล้ว
[0:30:07] sevensix67_: ถ้าพี่เบรค หน้กกว่านี้ครับ
[0:30:10] badvibeeiei: รถหมุดไม่ว่า ถ้าตกร่องกลางน้ำอะ ไม่อยากคิดภาพ
[0:30:10] popzabig: รถหมุน
[0:30:15] CheckerDabX: ฟาดเคราห์ครับลุง
[0:30:19] safesatan: ยังไงก็ต้องชนครับ
[0:30:22] Qxx4455: ฝนตกแต่ลุงยังขับเร็วววว
[0:30:26] phanuwat2006: ดูเกมกันครับเดี๋ยวลุงเครียด
[0:30:30] ThoMasX_1999: ดูเกมดีกว่า
[0:30:30] iamjergulaw: TwitchUnity TwitchUnity
[0:30:32] xzq56: เป็นห่วงคั้บ
[0:30:34] ty_saorkone1722: มันต่อดีกว่าครับลุงทำบุญให้น้องครับ
[0:30:37] tonsamui11: สกอร์เท่าไหร่แล้วครับแชท
[0:30:39] rissy_cute: มีเรื่องอะไรหรอครับเพิ่งมา
[0:30:43] ton_teetad: ผมไม่แนะนำให้กินตลอดนะลุง มันจะติด
[0:30:44] chanaxay: คุมยากแบกกะทันหัน
[0:30:46] slowsoslesp: ตื่นตอนนี้ ลุงจะนอนอีกทีประมาณกี่โมงคับ
[0:30:47] lilsamemousxi: ขับ4โอกาสหมุนยิงง่ายเลยครับ
[0:30:48] rewatsank: คือยาอะไรครับ
[0:30:48] tanatutttt: ไม่ดื้อยาบ้างหรอลุง
[0:30:57] cheftuaching: ดูลุงแกเล่นเกมกันดีกว่าเถอะ
[0:31:05] koaweerachat: สวย
[0:31:06] dataaaaaa6: เหมือนกัน เจอหมา เจอวัวมข้ามถนนไรงี้ อย่าเบรคฝนไม่ตกก็อย่าเบรค เบรค=💀💀💀
[0:31:14] q_cupid: ต้องไปทำบุญที่วัด หรือ บริจาคอาหาร ให้บ้านหมา-แมว ครับตาแก
[0:31:16] ty_saorkone1722: สวยดิค้าบ
[0:31:19] tonsamui11: สกอร์เท่าไหร่แล้วครับแชท
[0:31:23] engineerp06: ตม.ป่าวคับ55555
[0:31:29] yufawanchana: สกอเท่าไหร่แล้วครับ
[0:31:50] CrazyK94: StinkyGlitch
[0:31:51] tonsamui11: สกอร์เท่าไหร่แล้วครับ
[0:31:52] sobenz: 32-11
[0:31:53] artwoii: พวกชอบหลุดบ่อยด้วย 555
[0:32:02] nsoforrrr: เสื้อยืด กางเกงย้วน
[0:32:05] nine7913: ทางที่ดีนะครับลุงถ้าลุงกลัวก็ขับตามกฎหมายดีที่สุดครับ
[0:32:05] nine7913: nine7913 subscribed at Tier 1. They've subscribed for 10 months! ทางที่ดีนะครับลุงถ้าลุงกลัวก็ขับตามกฎหมายดีที่สุดครับ
[0:32:06] naphung1: อีกตู้อ่ะ
[0:32:07] lionwisdom: สกอเราได้30+แล้ว
[0:32:14] jone_500_tv: ในตู้นิหัวเป็ดใช่ปะยืนอยู่
[0:32:33] soart_tnp: อันนี้เจอกับแก๊งไรหรอ
[0:32:55] rahanon: คุกๆ
[0:32:56] tuatorbanana: Hz ไม่ไหว จ่าริคเกาะ1000ตัวไม่ได้ใช้
[0:33:01] ThoMasX_1999: @soart_tnp ฮกซุนคับ
[0:33:01] tanatutttt: Hz
[0:33:03] iamjergulaw: คนตีละ
[0:33:32] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:33:51] logan_4080: armx_558 subscribed at Tier 1. 
[0:34:07] q_cupid: วันหยุดปะ
[0:34:10] nnworawuxxx: สกอร์เท่าไหร่แล้วครับ
[0:34:12] iamjergulaw: LUL LUL
[0:34:14] naphung1: อ้อนๆๆๆ
[0:34:15] MewExplosivE: จุกๆๆๆ
[0:34:17] flkkiiz: 555 จุกก็
[0:34:19] nsoforrrr: ไม่เห็นหน้าลุง ไม่มีโผล่ Kappa
[0:34:20] bigbung786: จุกๆๆๆๆ5555
[0:34:25] q_cupid: อ่อ
[0:34:27] smith4889: มาวันอังคารจิง555
[0:34:27] safesatan: แหมจุก555555
[0:34:53] rahanon: ไรอะ5555
[0:34:55] tuatorbanana: King leopard  ไม่มีแผ่ว 555
[0:35:21] paritpondz: เรียก 500 ใบอะลุง
[0:35:26] BOATJULEK19203: asap งอมลุง
[0:35:28] by_wen: โคอิอินเวจตีกันบ้าเลยคู่นี้
[0:35:30] B2er1608: แท็คว่าเล่น200ใบป่ะ
[0:35:39] bigbear_r: 55555555
[0:35:40] bigbung786: จุกเอาใหญ่เลยนะ5555
[0:35:41] iamjergulaw: 55555
[0:35:42] pprao: 55555
[0:35:43] MewExplosivE: ห่ะ
[0:35:44] nooknahee_: rebirthztvBrear
[0:35:44] by_wen: 200ใบเงิน80ล้าน
[0:35:44] chibs_telfordd: 555555
[0:35:44] nonsnook26: LUL
[0:35:45] game_chaiwat20: rebirthztvHa rebirthztvHa
[0:35:45] oilsararat: cutenaArrr cutenaArrr
[0:35:46] heremos1: 55555555555555555
[0:35:47] jojunee: 5555555
[0:35:51] mnthai009: 5555555
[0:35:51] 42OOG_: HypeHide
[0:35:54] q_cupid: 555555
[0:35:57] mai_meow_: 5555555
[0:35:59] dexterx66: ก็ถูก
[0:36:04] PaoYingShul3: ไปให้อาหมวยมีความหวังละกลับมาบ่น
[0:36:06] finaloom: โดนสองคนเลยนะ
[0:36:06] lilsamemousxi: จริง
[0:36:06] q_cupid: ตี๋โดน
[0:36:10] iamjergulaw: เขาพูดอีกทางลุงไปอีกทาง
[0:36:11] njrphurichai: หลอดลุงด้วยนะครับ
[0:36:12] i_na_foolish: ขอคำที่จุกพูดหน่อยแชทลืม55555
[0:36:15] oilsararat: พี่ตี๋เจ็บ555
[0:36:21] dataaaaaa6: ไม่คิดว่าไปแล้วจะเหนื่อยเลยไป5555555
[0:36:21] njrphurichai: ใกล้หมดแล้วอาหาร ลุง
[0:36:36] q_cupid: 5555555
[0:36:36] game_chaiwat20: rebirthztvHa rebirthztvHa rebirthztvHa
[0:36:44] pprao: 555555555
[0:37:10] tonwan_y: 55555
[0:37:15] sobenz: 555555
[0:37:15] chibs_telfordd: 5555555
[0:37:20] daniel_lanla: กะไปเที่ยวทรงนี้
[0:37:25] klong10: 55555
[0:37:31] jojunee: 5555555
[0:37:33] logan_4080: rebirthztvRich
[0:37:38] tompool20: กระเพราะปลาเต็มกระเพราะตี๋
[0:37:55] newcig: แขวนกันยับ55555
[0:38:30] firstza2540: เผากันเองละไง
[0:38:34] badvibeeiei: Shush Shush
[0:38:34] rahanon: ก็จุกไม่ได้มีเหมือนตี๋หนิ55555
[0:38:45] GIIUL3: มันต้องเล่นไฟท์ใหญ่2ไฟท์ไม่ใช่หรอ
[0:39:26] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:39:27] keemeell: ต้นไม้โดน555
[0:39:31] naringsak_bas: พอฝั่งตัวเองเสียเปรียบละหายเเบบนี้อะนะ
[0:39:40] smith4889: babyju8Juckkboxbox
[0:39:40] phureephatprp: @giiul3 ถ้าไม่ได้ทำสัญญาข้อนี้ก็ไม่เกี่ยวครับ
[0:39:50] GIIUL3: โอเคคัฟ
[0:40:42] MewExplosivE: เค
[0:40:45] lionwisdom: เค
[0:40:47] i_moon_69: เคคค
[0:40:48] new_sparrow: สวย555555
[0:40:55] iamjergulaw: เครป๊ะป๊าแรป
[0:41:02] GIIUL3: จะชนะยุแล้ว
[0:41:06] dungch2564: โดนยึด
[0:41:18] chibs_telfordd: เคลุงงง
[0:41:26] Qxx4455: ฟื้นมาโดนด่าชัว5555
[0:41:32] yeeted888: เรียบร้อย
[0:41:38] keemeell: ฮาคิ
[0:41:41] i_moon_69: รีหมดละ5555
[0:41:42] cosmiccafe: เล่นแต่แรกจบไปแล้ว
[0:41:43] RONGKATEPJR: จบ555
[0:41:44] yeeted888: หนีหมด
[0:41:56] suphamit1995: 555555
[0:41:57] JAK25261: สวยย
[0:41:58] chibs_telfordd: ฟื้นมาเมื่อไหร่ ชารีฟเตรียมหูรอเลย 555555
[0:42:02] tucktay: สวยจัด
[0:42:03] artwoii: ละเปิดฮาคิเชย 5555
[0:42:03] sutthipong2: 5555
[0:42:04] omeeny_o: โดนชัว55
[0:42:05] flkkiiz: หูชาแน่นอนชารีฟ
[0:42:32] GolfJai: @GIIUL3 ใช่ครับ... ทุกการรีต้องมีการไฟท์เกิดขึ้น โดยที่มีผู้เล่นทั้ง2ฝ่ายมากกว่า50%ในไฟท์    (หากไม่ไฟท์=โดนปรับ)
[0:43:15] earngzzz: เค้าก็อ้างได้ว่ามาเล่นตั้งแต่ 5 โมง
[0:43:17] MewExplosivE: แรปตาแดงก่ำ 555
[0:43:23] wairong: ล้มแล้วปล่อยอิหนู
[0:43:30] GIIUL3: เวลาพีคทามไม่ใช่5โมงคัฟ
[0:43:35] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:43:58] floydelive_: มาเชตั้ว
[0:44:08] MewExplosivE: เค
[0:44:12] petchppz: 5555
[0:44:12] i_moon_69: เคคค๊
[0:44:12] jojunee: เค
[0:44:12] switchbell: SeemsGood
[0:44:13] Onsupness: 5555555
[0:44:13] safesatan: มาด้วยควมเร็วแสง
[0:44:13] rahanon: สับ100
[0:44:15] tan_pchn: แครอททท
[0:44:17] spyza11: 5555
[0:44:18] ctrler19: ลุงแม็ตโหม่งไม้5555555
[0:44:18] aontz555: สวย5555
[0:44:20] lionwisdom: แครอท5555
[0:44:22] earngzzz: @giiul3 พีคไทม์ 6 โมง เค้ามา 6 โมง เรามา 3 ทุ่ม เจ๊ากันอยู่ดี
[0:44:22] yeeted888: ชุบท่ายาก
[0:44:26] dataaaaaa6: 10ทีเจอทีเดียวหงาย55555
[0:44:30] cosmiccafe: ชุบโหดจัด
[0:45:27] MewExplosivE: ทนจัด
[0:45:33] safesatan: หลบสวย
[0:45:36] lokgnomiris2: นานจัด
[0:45:36] floydelive_: มันกดเกราะ รัวๆ
[0:45:39] njrphurichai: แครอทหรอมะกี้
[0:45:41] alext2z: คล่องตีนจัด
[0:45:59] daniel_lanla: @njrphurichai ใช่
[0:46:01] koaweerachat: เกราะฟรีกดไม่พักเลยนะตำรวจ55
[0:46:05] chibs_telfordd: มึงก็อึดจัด ตร. 55555
[0:46:06] dexterx66: แครอทยืนนานจัด
[0:46:20] aontz555: ตีกับตำรวจเล่นซะแล้ว5555
[0:46:20] belllove000: ดักตู้
[0:46:20] ty_saorkone1722: ลุงเข้าห้องกานเวลาป่ะนิตึงจัด
[0:46:48] narongsak_rew01: กิจกรรมไรอะ
[0:46:51] MewExplosivE: หมดดง
[0:46:59] yeeted888: ตายหมด
[0:47:04] ppimjung: เหงาจัดเล่นกะตร.แทนแล้ว
[0:47:18] njrphurichai: โคตรรัน แต่ฝั่งมันม่รัน55555
[0:47:23] dexterx66: ตีตรมันกว่าอีก5555
[0:47:31] kaffee_40: สกอร์เท่าไหร่ครับ
[0:47:38] cosmiccafe: หูชา 555
[0:47:39] MewExplosivE: แรปแค้น 555
[0:47:39] yeeted888: โดนสวดแน่
[0:47:40] WORAWAT2104: Hz หนีหมดยังครับแชท
[0:47:41] film_1248: เอาแล้วว
[0:47:45] vut11: 555
[0:47:51] oak_28: เชอรีฟโดน55
[0:47:52] ihereooooo: โดนแน่555
[0:48:02] Bensodomo: วันนี้ชารีฟโดนนะ5555555
[0:48:03] wairong: ไม่โดนหรอกแค่บอก
[0:48:17] cooper_fcjak: rebirthztvHa
[0:48:27] chibs_telfordd: แร้ปกำหมัดตาแดงก่ำละตอนนี้ 555555
[0:48:45] kitthiti: ได้อยู่=
[0:49:29] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:49:38] PaoYingShul3: โดนย้อนหลังแน่แหละ ความจำดี
[0:49:43] nopphanan23: ฝั่งนู้นมีใครโดนย้ำยังครับ
[0:49:45] tuatorbanana: จังหวะจับกับกางมันพอดีมั้ง
[0:49:50] papangyaga: asap จะแพ้ iv ลุง
[0:49:55] tar_0909: ต้องจับก่อนกางฮาคิลากออกไปได้แต่ถ้าจับตอนยังไม่กางต้องปล่อยป่ะ
[0:49:56] pondnoiz2543: สกอร์เท่าไหร่แล้วแชท
[0:50:01] lionwisdom: สปอยเพื่อ
[0:50:04] yeeted888: asap แพ้จิงดิ
[0:50:04] copter_90: Squid1 Squid2 Squid3 Squid2 Squid4
[0:50:12] MewExplosivE: 555555
[0:50:18] aomsinz__stp: ครึ่งล้าน
[0:50:21] JAK25261: Shush Shush
[0:50:24] petchppz: อ้าวเป็นไรอ่ะลุง
[0:50:30] 42OOG_: jackey9SoRich
