[0:00:14] ノンデリ: よおおお
[1:43:39] オロポン123: むっちゃきてるw
[1:43:46] 奄美迦楼羅: 葉終わったｗ
[1:43:53] reizan16: あ
[1:43:56] ryu5ei_: www
[1:43:56] つっきー3355: www
[1:43:56] sakuto3399: ヘリ2台！？
[1:43:58] だるせーにょ: wwwwwwww
[1:43:58] hinakoooo_fn: wwwwwww
[1:44:00] ぶたぁー: あ
[1:44:01] あめあられさん: れむちゃんwww
[1:44:01] むつっきー: wwwww
[1:44:04] frtyutti: ＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷ
[1:44:04] maharu4u: 包囲されててわろた
[1:44:06] sakuto3399: お前ってやつは……
[1:44:06] torinosu_rainy: www
[1:44:07] カチスレジス: いじめだろwww
[1:44:07] hisagi_jp: wwwwwwwwwww
[1:44:10] mitsuya115: ヘリ2台死んだwwwwww
[1:44:15] opefgrapon: めっちゃきたー
[1:44:17] maharu4u: wwwww
[1:44:18] たくみ0928: 多すぎw
[1:44:19] dox404: wwwww
[1:44:19] むつっきー: 葉終わったwwwwww
[1:44:20] 阿吽呼吸: いすぎだろw
[1:44:21] あめあられさん: れむはやばいwww
[1:44:21] hinakoooo_fn: めっちゃきてる
[1:44:30] sakuto3399: 初銀行でヘリ2台wwwww
[1:44:40] 御免わびる: めっちゃきてるやんｗ
[1:44:41] だるせーにょ: ボスwwwww
[1:44:43] hisagi_jp: おわってるwwwwww
[1:44:46] 花﨑2: wwwww
[1:45:00] sakuto3399: れむきた？
[1:45:18] だるせーにょ: ぶないwww
[1:45:19] sirasuzyusu: こっわｗ
[1:45:25] ネオちー: 来すぎだろｗ
[1:45:26] むつっきー: あっぶなw
[1:45:44] inuemonn: 多すぎだろww
[1:45:45] あめあられさん: ようにスーパーシャウトって言お
[1:46:02] 豚さんベイブ: 後藤れむ居るやんw
[1:46:14] カチスレジス: れむwww
[1:46:17] sakuto3399: れむは無理やろwwww
[1:46:23] 豚さんベイブ: 終わったわw
[1:46:26] だるせーにょ: じゅうわたしときな
[1:46:41] だるせーにょ: バカwwww
[1:46:42] つっきー3355: www
[1:46:44] ネオちー: ｗｗｗｗ
[1:46:47] 風呂ゾンビ: アホすぎるだろwww
[1:46:48] むつっきー: あいつバカだwww
[1:46:48] ネオちー: あいつｗｗｗｗ
[1:46:49] カチスレジス: www
[1:46:52] torinosu_rainy: 葉だwww
[1:46:52] だるせーにょ: 終わってるwwwwwww
[1:46:52] maharu4u: 決闘
[1:46:55] hinakoooo_fn: なんで名乗ってんだよwwww
[1:46:55] つっきー3355: やばwww
[1:46:58] TYdaaa: アメリカンなやつやなw
[1:47:02] オロポン123: ワンチャンあるか
[1:47:03] sugikenjp: れむとｗｗｗ
[1:47:03] カチスレジス: なにしてんだwww
[1:47:04] mitsuya115: 西部劇かな？www
[1:47:14] たくみ0928: www
[1:47:15] 豚さんベイブ: 絶対勝てないw
[1:47:15] つっきー3355: wwwww
[1:47:26] magical_ba77: 警察ずる
[1:47:28] TYdaaa: せっこwww
[1:47:30] ネオちー: チーミングだろｗｗｗｗｗｗｗｗｗｗｗ
[1:47:32] hinakoooo_fn: ええええええええ？
[1:47:32] だるせーにょ: wwwwwwww
[1:47:33] バイオ太郎: ｗｗｗ
[1:47:34] 阿吽呼吸: は？
[1:47:35] つっきー3355: ずるwwww
[1:47:36] むつっきー: wwwwwww
[1:47:40] 花﨑2: wwwww
[1:47:40] 奄美迦楼羅: セコですやん
[1:47:42] カチスレジス: やばいだろw
[1:47:44] アルティメット山田113: www
[1:47:52] mitsuya115: wwwwww
[1:48:01] kemamon_: 卑怯者だね
[1:48:10] magical_ba77: は？
[1:48:13] あめあられさん: 葉1回ボスに勝ってるからいけるかもって思ったのにな笑笑
[1:48:23] torinosu_rainy: それなw
[1:48:24] moroheyyear: にげろーーー
[1:48:34] sirasuzyusu: 横暴だー
[1:48:36] compass____: ぺ、いんと
[1:48:42] mitsuya115: あ
[1:48:44] だるせーにょ: ぺいんとwwwwww
[1:48:47] むつっきー: ぺいんt、ぺいんさんだー！
[1:48:48] ネオちー: あ
[1:48:50] hideonjetttt: ｗｗｗｗｗｗｗｗｗｗｗ
[1:48:52] hinakoooo_fn: wwww
[1:48:54] ネオちー: 懐かしいなｗｗｗｗｗ
[1:48:58] むつっきー: wwwwwwwww
[1:49:00] TYdaaa: ぺいん、と
[1:49:02] hinakoooo_fn: 懐かしいいい
[1:49:06] yama_ger: ぺいんとー
[1:49:06] じゅんぐら: wwww
[1:49:08] つっきー3355: wwwww
[1:49:12] ネオちー: いうなｗ
[1:49:14] 阿吽呼吸: 犯罪センスなくて警察かww
[1:49:14] カチスレジス: www
[1:49:18] anakin_kenobii: 犯罪者の素質がないペイントwwwww
[1:49:27] むつっきー: かつては車すら取れなかったのにww
[1:49:27] 豚さんベイブ: アホやw
[1:49:27] ネオちー: おいｗ
[1:49:30] blaotnkzz: おいw
[1:49:31] indoyou_: ｗｗｗ
[1:49:33] jdhsjchd: すいません今来ました
[1:49:35] 奄美迦楼羅: お前女の名前間違えるのやばいぞ
[1:49:37] アルティメット山田113: おいｗ
[1:49:38] ネオちー: アウトｗｗｗｗ
[1:49:39] jdhsjchd: 高木何したんですか？
[1:49:41] moroheyyear: あー
[1:49:42] たくみ0928: 最低
[1:49:51] grimoooooo: さいてー
[1:49:53] オロポン123: これは擁護できひんわ
[1:49:55] iytreszhii: 変装じゃないよw
[1:49:56] カチスレジス: さいてー
[1:49:59] sirasuzyusu: 女の名前間違えたｗ
[1:50:00] 奄美迦楼羅: まぁたしかに声質は似てるか
[1:50:01] ななしという名があります: w
[1:50:03] tooo818: これは逮捕だわ…
[1:50:06] corgi_green: 声が似てるっていいたいのかなw
[1:50:14] だるせーにょ: なずぴではないwww
[1:50:26] hisagi_jp: wwwwwwww
[1:50:26] バイオ太郎: ｗｗ
[1:50:26] むつっきー: ぺいんにだけは言われたくないwwwwwww
[1:50:40] hinakoooo_fn: 人質取れねえだろwwww
[1:50:40] hazanao0317: これは、エモいわwwww
[1:50:41] moroheyyear: www
[1:50:42] dedededaimaou2007: カージャックできんのか？
[1:50:45] ネオちー: ロックオン
[1:50:49] tooo818: ペイントさんwww
[1:50:49] 阿吽呼吸: エモいなあ
[1:51:10] だるせーにょ: だっさwwww
[1:51:12] たくみ0928: www
[1:51:14] sirasuzyusu: オルカ そぼろ
[1:51:16] むつっきー: wwwww
[1:51:18] はりぷ: www
[1:51:21] TYdaaa: 厨二病かな
[1:51:21] hinakoooo_fn: エモすぎる
[1:51:27] ぶたぁー: エモ
[1:51:31] だるせーにょ: VCR→ストグラ おもろいなぁ
[1:51:41] inuemonn: エモいな
[1:51:45] ネオちー: 可愛い弟子だな
[1:51:49] 奄美迦楼羅: かれんさんヘリ苦手か
[1:52:14] anakin_kenobii: あいつアーマー着てないしな
[1:52:19] だるせーにょ: 高木ヘリやったら？
[1:52:27] jdhsjchd: 高木と葉って何しでかしたんですか？？
[1:52:43] TYdaaa: 金たまったらクラフトもやらんといけんのか
[1:52:47] sirasuzyusu: ぜひ切り抜きを
[1:53:07] gagagaga000: 後藤れむアーマー着てなかったら勝ってたしな
[1:53:09] maharu4u: 18歳でギャングもなかなかだぞ
[1:53:29] ネオちー: まあほぼ同じだよなｗ
[1:53:32] オロポン123: 普通に別人
[1:53:33] furunakisate: わかる
[1:53:34] baricondor3: www
[1:53:36] dmgtmpgm: ガチの別人よw
[1:53:37] mIranIwa: わかるw
[1:53:43] TYdaaa: 人の名前覚えるの苦手すぎないかw
[1:53:49] sai_xxxx: 声は似てるよねw
[1:53:50] ななしという名があります: つまりクッソ失礼ってこと
[1:53:53] バイオ太郎: 声似てるよな
[1:53:55] airplayerx: 自分の確信を絶対に疑わない
[1:53:56] だしどっぐ: 似てるけど全然違うｗ
[1:54:11] つっきー3355: 声は似てるけどね
[1:54:17] jackass0012: なずぴをオルカって呼んでみよう
[1:54:23] mIranIwa: 変装や別キャラもいれば声似てる人もいる
[1:54:23] victlix30: めっちゃにてるだろwww
[1:54:24] hideonjetttt: 同じだろ
[1:54:26] ランプアイ: にてる
[1:54:26] maharu4u: 似てると思う
[1:54:28] gagagaga000: 似てるなw
[1:54:28] mIranIwa: 声似てるよw
[1:54:28] 刺身サーモン: にてる
[1:54:30] magical_ba77: にてる
[1:54:31] TYdaaa: 並んでもらって聞いたら全然違うよ
[1:54:31] moroheyyear: 似てるよ
[1:54:32] 奄美迦楼羅: 高木俺はわかるぞ
[1:54:33] mitsuya115: めっちゃ似てたわ
[1:54:33] 生意気なむーす: めっちゃにてる
[1:54:33] ななしという名があります: 似てはいる
[1:54:38] ネオちー: おれは聞き分けれないわｗ
[1:54:40] れのだお: あんま似てない
[1:54:44] furunakisate: 初見は似てると思う
[1:54:47] sirasuzyusu: vの声は命だぞ
[1:54:48] baricondor3: 人によるけど俺は似てると思った
[1:54:49] むつっきー: そ、それは
[1:54:55] 刺身サーモン: それは似てない
[1:55:08] むつっきー: wwwwww
[1:55:08] maharu4u: 自認やめろww
[1:55:10] moroheyyear: takagi8Kusa takagi8Kusa
[1:55:10] compass____: お互いに寄せたらわからんな
[1:55:13] airplayerx: w
[1:55:20] hiropon79: www
[1:55:24] hisagi_jp: wwwwwwwww
[1:55:24] inuemonn: それはそうww
[1:55:27] ryu5ei_: w
[1:55:31] バイオ太郎: ｗｗｗ
[1:55:35] moroheyyear: 5秒は考えすぎww
[1:55:36] むつっきー: 一言一言チェック入るのかよww
[1:55:37] TYdaaa: まぁ1番それが安全だよなw
[1:55:38] magical_ba77: ベロチュウしたいです
[1:55:40] ぺきち: でも脊髄反射の高木もおもろいよ
[1:55:43] darumaiku: 100日後に高木には何が残ってるかな
[1:55:44] mitsuya115: この世界の女全員彼女にしたいもんな
[1:55:59] mIranIwa: 変わらずにいてほしいw
[1:56:03] ABC842: もてたいんだ
[1:56:04] tanakadesukedo: 那須さんももてたいのか
[1:56:12] 5keys_707: 聞き上手
[1:56:14] むつっきー: そのままでいいよw
[1:56:17] 下町パンチパーマ: 自分で思っても相手がどう思うかだ
[1:56:22] オロポン123: されるとムカつくよな
[1:56:22] 奄美迦楼羅: ちゃうんすよ
[1:56:23] mIranIwa: つまり俺はモテるってマウント？
[1:56:35] たくみ0928: ちょっと耐えるってことか
[1:56:35] umenta1: www
[1:56:37] 阿吽呼吸: 高木は陽キャなんだよ
[1:56:38] starrysuburbs: じゃあもてなくていいか
[1:56:41] magical_ba77: wwww
[1:56:41] ryu5ei_: ww
[1:56:41] カチスレジス: www
[1:56:41] sirasuzyusu: 高木は不快だとｗ
[1:56:42] hideonjetttt: ｗｗｗｗｗ
[1:56:45] mitsuya115: wwwwww
[1:56:49] おむだお: wwwwww
[1:56:49] ミりン: www
[1:56:51] hinakoooo_fn: 割り込むwwww
[1:56:52] inuemonn: wwww
[1:56:52] tuba2525: WWWWWWWWW
[1:56:55] maharu4u: 配信者としてはガツガツいきたいよな
[1:57:00] sakuto3399: お先どうぞっ⤴︎︎
[1:57:02] indoyou_: ストグラで社会勉強
[1:57:02] mIranIwa: でも配信者だしなー
[1:57:03] TYdaaa: 思ったことがすぐ口からでちゃうんだろうなw
[1:57:03] ryu5ei_: ...っはいここね！
[1:57:06] dox404: wwww
[1:57:17] lswj2: wwww
[1:57:18] noruwei: あ
[1:57:22] まことこま: 高木はこれが面白いw
[1:57:23] だるせーにょ: 多動出ちゃってるwwww
[1:57:23] 阿吽呼吸: あ
[1:57:25] sai_xxxx: 多動w
[1:57:25] noruwei: た、どう
[1:57:26] ミりン: あ
[1:57:27] ネオちー: おっくんスタイルでいくか
[1:57:27] tuba2525: 多動
[1:57:28] compass____: 多動
[1:57:28] つっきー3355: あ
[1:57:30] hideonjetttt: ここは中学校ですか？
[1:57:32] むつっきー: あ
[1:57:33] darumaiku: それはやめないで
[1:57:34] noruwei: これは無理なんです
[1:57:35] konkick: 高木は多動障害だから、
[1:57:35] hinakoooo_fn: 小学校です。
[1:57:35] kemamon_: 色んなゲームに向いてる話し方だね高木は
[1:57:38] ネオちー: ｗ
[1:57:41] inuemonn: あ、そこつかれたらまずい
[1:57:42] hisagi_jp: 高木から八の字ドリブルを奪わないでください
[1:57:42] りんごりらっぱせり: 実際聞いてないｗ
[1:57:45] umenta1: 多動はむりなんです（ ;  ; ）
[1:57:46] むつっきー: もう、無理なんです...
[1:57:47] おむだお: わぁ！？
[1:57:50] moroheyyear: いい先輩だ
[1:57:55] hiropon79: 学校でワロタ
[1:57:56] ぺきち: それだけは取らないで😭
[1:57:57] だるせーにょ: 先生だ
[1:57:59] mIranIwa: 先生指摘は3つまでにしてー
[1:58:03] hideonjetttt: これ以上アイデンティティを奪わないで。。。。
[1:58:09] noahrrx_: 彼の多動は治りませんw
[1:58:13] ABC842: ありがどうございます
[1:58:20] sakuto3399: 全員大川さんになれば
[1:58:30] 阿吽呼吸: 高木のアイデンティティが、
[1:58:33] maharu4u: 葉の話し出すなww
[1:58:42] むつっきー: ストグラでどんどん高木の良さが奪われていく... BibleThump
[1:58:45] sirasuzyusu: だで
[1:58:55] ネオちー: ｗ
[1:58:55] TYdaaa: そうじゃん喋る人全員大川さんって思ったら問題起きなそう
[1:58:56] noruwei: ﾊｲ
[1:58:57] 刺身サーモン: ッハァァイ
[1:59:00] nppppppff: おもろw
[1:59:03] あゆ1212: wwww
[1:59:07] おむだお: ﾊｲ
[1:59:07] yossy_island23: どうにかして多動しろ
[1:59:08] tuba2525: 割り込も今
[1:59:09] hisagi_jp: wwwwwwwwwwwwwww
[1:59:09] tooo818: ありけんが泣いてたらおもろいけどなw
[1:59:13] ネオちー: 中身があれだとなあｗ
[1:59:13] moroheyyear: また高木の脳内に小学校の先生の記憶が......
[1:59:13] あかんね: ｗｗｗｗｗｗｗｗｗｗ
[1:59:14] kamabokopi5: 那須さんめっちゃ喋るやん
[1:59:17] maharu4u: 荷物いじいじ
[1:59:18] hinakoooo_fn: wwwwwww
[1:59:19] tuba2525: 動け動けWWWWWWWWW
[1:59:19] たくみ0928: 友達思いやなチャルw
[1:59:19] だしどっぐ: 彼女みたいなｗ
[1:59:19] ryu5ei_: ﾊｲ
[1:59:21] あゆ1212: sokode
[1:59:28] hiropon79: 聞いてなくてワロタ
[1:59:29] sirasuzyusu: 泣く130キロ
[1:59:30] indoyou_: 多動は無意識だからなｗ
[1:59:31] だるせーにょ: ここではかるびのレベルでは話せないんだよな
[1:59:39] mIranIwa: 別にストグラ以外で話聞いてないとか遮る感じとかないし空気読めてて問題もないのにどんどん矯正されていくな
[1:59:39] hinakoooo_fn: wwwwww
[1:59:39] noruwei: wwww
[1:59:40] あめあられさん: こいつ入るなら俺ここやめます！とか言ってたのに...www
[1:59:40] blaotnkzz: おかしくないよ
[1:59:42] 阿吽呼吸: 多動は直せないからしょうがない
[1:59:42] konkick: 高木は配信者だからまだ特徴としてなんとか成り立ってるけど、普通の人として考えたらネジ2本はないからな
[1:59:44] おむだお: いい多動回避
[1:59:44] ネオちー: それ以上は言うな
[1:59:44] sai_xxxx: www
[1:59:45] maharu4u: 急に重い話始まったな
[1:59:46] poppinoc: 底辺の言う事聞くな
[1:59:47] hisagi_jp: w
[1:59:47] ななしという名があります: …w
[1:59:48] kemamon_: 彼女？
[1:59:48] masa_y_13: バレない多動やるの草
[1:59:48] りんごりらっぱせり: みんなどっかしらおかしいから
[1:59:51] jackass0012: ｗｗｗｗ
[1:59:53] noruwei: wwwwwwwwwwww
[1:59:56] soumen0113: w
[1:59:57] starrysuburbs: 奇人だよ
[2:00:01] つっきー3355: wwww
[2:00:02] moroheyyear: 正解
[2:00:03] ichisanniiroku: 自覚あるんか！
[2:00:09] hideonjetttt: 高木のいいところだぞ！！
[2:00:11] maharu4u: 配信者なんだから多少頭おかしいほうがいい
[2:00:13] ponzuoioi: ｗｗｗｗ
[2:00:14] おむだお: 変なやつではあるけど最高だよ
[2:00:15] yossy_island23: 高木にはしんじみたいな兄ちゃんが必要や・・
[2:00:16] airplayerx: まあ今日の主要原因は昨日で信用無くしたことによる誤解だからな
[2:00:17] mIranIwa: 長所だよ
[2:00:18] anakin_kenobii: それもまたいい
[2:00:18] まことこま: だからボスは入れてくれたんだよw
[2:00:21] ぺきち: 配信者って大体そうじゃねw
[2:00:22] 刺身サーモン: takagi812 takagi812
[2:00:24] _るるちゃん: いいとこだぞ！そこが好きなんだよ！！
[2:00:31] kemamon_: 配信者としてはいいぞ
[2:00:35] sai_xxxx: 少しづづね
[2:00:36] むつっきー: 狂ってない高木なんて高木じゃない！！
[2:00:40] 奄美迦楼羅: 愛のムチやぞ
[2:00:40] すいか123: 配信者は常識人じゃ伸びないから
[2:00:43] itijou_: 1日1貢献
[2:00:47] sirasuzyusu: rpでは直した方がいいと言わなきゃ
[2:00:58] bell_dex: もっとやばい奴が居れば客観視できそうだけどな
[2:01:05] mIranIwa: 発言に瞬発力もなく相手の3割しか喋らない高木なんていらね
[2:01:14] moroheyyear: 確かに怒られなくなったら終わりだね
[2:01:32] むつっきー: 気にさせてるの那須さんじゃないの
[2:01:39] compass____: どうせ治んないと思ってるからいいけど、ほんとに矯正されたら嫌だなｗ
[2:01:39] noahrrx_: 多動症がはじまりました
[2:01:46] 阿吽呼吸: バッグいじいじしよ
[2:01:56] nppppppff: w
[2:01:58] tofumaster0000: 脊髄トークができないのが悲しい
[2:01:59] darumaiku: 多動は奪わないでくれ
[2:02:01] 奄美迦楼羅: やさし
[2:02:03] hinakoooo_fn: wwwww
[2:02:03] konkick: まあ、空気読むって言うか真面目な雰囲気の時だけはちゃんとしよって話だよな
[2:02:06] sai_xxxx: 団体行動するからには最低限の事は気をつけて
[2:02:09] だるせーにょ: えww？
[2:02:16] mIranIwa: このギャングには必要な指導なのかもしれないけど配信者としてはいらない矯正指摘してるよ
[2:02:21] hideonjetttt: ブランカ？？
[2:02:32] tarutiki4: 相手もrp
[2:02:33] maharu4u: 葉警察におもちゃにされてるか？
[2:02:42] まことこま: ギャングRPだからね
[2:02:44] バイオ太郎: ｗ
[2:02:47] 阿吽呼吸: ブランカrp
[2:02:55] sai_xxxx: 個別で好きにやりたいなら誰にも言われない
[2:03:00] TYdaaa: 慣れだよ慣れ
[2:03:06] jackass0012: 18年間してこなかったもんな
[2:03:06] バイオ太郎: ｗｗ
[2:03:10] だしどっぐ: わかる
[2:03:10] reizan16: RPなんだからｗ
[2:03:10] airplayerx: BibleThump
[2:03:10] moroheyyear: @konkick  これ
[2:03:11] mIranIwa: 怒られてりゃいいよ RPで言われてるだけだから内面を反省するな
[2:03:11] だるせーにょ: 半分現実世界やからな
[2:03:14] sirasuzyusu: ここに来ておさらいか
[2:03:17] itijou_: なんか今日かっこいい服着てる？
[2:03:17] しゆ太郎: karubisUwaaan karubisUwaaan karubisUwaaan
[2:03:20] mitsuya115: そんなことないぞ takagi812
[2:03:21] inuemonn: でもここで青春しようぜ
[2:03:23] ネオちー: やめよw
[2:03:23] おむだお: 悲しいこと言わないで
[2:03:27] 刺身サーモン: ギャングの時だけ直せばいいだけやで
[2:03:27] noruwei: rpって便利やな
[2:03:31] jackass0012: BibleThump
[2:03:35] hisagi_jp: wwwwwww
[2:03:40] ウェポン: いいね
[2:03:41] pilafu0: 分かんなかったら聞くんだ
[2:03:41] compass____: wwww
[2:03:42] hideonjetttt: 作ってもらおう
[2:03:42] moroheyyear: wwww
[2:03:43] konkick: 真面目な雰囲気だなってのは分かってるなら、治せる。分かってないなら厳しい笑
[2:03:43] hinakoooo_fn: wwwww
[2:03:45] hiropon79: 異端すぎておもろい
[2:03:45] 奄美迦楼羅: ギャングで常識学ぶか
[2:03:47] つっきー3355: これほんとにrpか？ww
[2:03:48] moroheyyear: 作ろう！！
[2:03:51] おむだお: いいね
[2:03:52] むつっきー: この街なんと恋愛できます
[2:03:52] まことこま: 恋愛RPしよう
[2:03:53] えるねるなるな: 高木が作ろう
[2:03:56] あめあられさん: にしのん寝取るか
[2:03:57] 刺身サーモン: 今から中学生になろうか
[2:04:00] 5keys_707: 先生はたくさんいそう
[2:04:05] TYdaaa: 小学校の頃からインターネットにズブズブだと色々感覚狂うよな
[2:04:16] namujin1: ストグラ学園中等部
[2:04:21] つつしみ: 一人だけドキュメンタリー
[2:04:27] おむだお: リアルの人生勉強
[2:04:35] mamo0_0: この街で青春しようってすごいいいじゃん！！
[2:04:38] iytreszhii: 学校って大事なんだな
[2:04:42] merononpu: 学校並みの時間仲間と過ごす世界だしね
[2:04:46] reizan16: 別の高木になればいいんだよｗストグラの間だけｗ
[2:04:51] mIranIwa: 格ゲー界隈なら変わらない自分で青春できるよ
[2:05:04] _るるちゃん: 魂に変にダメージ受けないでくれよ！
[2:05:08] 生意気なむーす: ん？
[2:05:33] aiueoo701: みんな優しすぎんかw
[2:05:35] indoyou_: れり姐 BibleThump
[2:05:37] pitalex720: おもんなくなるから今の話全部わすれろ！！！
[2:05:45] konkick: かるびみたいに自分の良さをコントロール出来るようになればいいんよ
[2:05:53] mIranIwa: 反省すんなよつまらなくなるから
[2:06:29] iytreszhii: @miraniwa 文字が自我出さないでね
[2:06:41] moroheyyear: オラオラが見たいけどな
[2:06:47] あめあられさん: やったこいつwww
[2:07:02] itijou_: 壁ドーンとかバーンとか
[2:07:04] あめあられさん: ヘリ傷付けたwww
[2:07:06] むつっきー: 切り替え出来れば変わる必要はないんや
[2:07:06] maharu4u: 高木がやりたいようにやればいいよ
[2:07:35] tomato123421: 止まって話を聞くってのはどこいった？
[2:07:43] pitalex720: 結局たかぎが楽しくないと意味ないからすきにやろう
[2:07:53] kaida1219: ギャングを続けたいならここは絶対じゃない？
[2:08:02] pilafu0: 人の話聞く時は止まろうな
[2:08:03] ネオちー: ちゃんと目みて話聞け！
[2:08:06] 元年: やべーのが面白いとこあるからな まあ高木はストグラゲームとして切り離せてるから大丈夫だと思うわ
[2:08:17] つっきー3355: おおおよくできた
[2:08:20] おむだお: wwwwwww
[2:08:25] hinakoooo_fn: wwwww
[2:08:26] むつっきー: 悲報多動消える
[2:08:30] jdhsjchd: まあ、成り行きなんじゃない？
[2:08:46] 5keys_707: 一人称で顔見るかｗ
[2:08:49] 安全安心な暮らし: まともになれないからギャングなんだからまともを求められても困るわな
[2:08:49] konkick: 真面目な話の時は割り込まない、楽しむ時はどんどん割り込もう
[2:08:52] furunakisate: れりあとのコンビいいやん
[2:08:53] ABC842: もてるぞ
[2:09:08] maharu4u: 急に肩組むやんw
[2:09:14] noahrrx_: 今消えてるけどいずれ彼はの多動は出始めますw
[2:09:20] konkick: れりあはいろいろあったよ
[2:09:40] TYdaaa: 高木もきっとこの組織で揉まれて成長するんだよ
[2:09:51] _るるちゃん: ナイス目標👍
[2:09:58] tomato123421: 怒られることは悪いことなんじゃないんよ
[2:10:07] maharu4u: ストグラで社交性学んで、かるびからヤバい部分を吸収しよう
[2:10:10] TYdaaa: 餡で起きてる時間で言ったら1週間くらいだし
[2:10:17] hirohiro131: 何があったん？
[2:10:17] itijou_: wwwwきくぅぅぅ
[2:10:19] だるせーにょ: wwwwwww
[2:10:22] ななしという名があります: くぅ～w
[2:10:24] ネオちー: 効くうううう
[2:10:31] konkick: 魂に効く
[2:10:55] カチスレジス: な
[2:10:56] maharu4u: 葉どこいったんだ？
[2:10:57] ネオちー: お前もやったことあるだろｗｗｗｗ
[2:11:18] ぶたぁー: え？
[2:11:20] itijou_: w
[2:11:21] ぼくでぇす: wwwww
[2:11:25] hideonjetttt: 二重人格に殴られたんじゃないの？
[2:11:26] だるせーにょ: 夢か
[2:11:26] _るるちゃん: www
[2:11:26] hinakoooo_fn: え？w
[2:11:38] as_desu: ww
[2:11:42] TYdaaa: www
[2:11:45] ryu5ei_: ww
[2:11:46] hisagi_jp: wwwwwwwwwww
[2:11:46] yukoshaaan: ww
[2:11:46] 刺身サーモン: wwwwwwww
[2:11:47] jackass0012: 学んでるｗ
[2:11:53] バイオ太郎: アンブレラは気前がいいなあ
[2:12:00] hinakoooo_fn: VCRってストグラの100年前？後？どっちだっけ？
[2:12:28] TYdaaa: @hina3_7 第1回が100年前で2回目が100年後らしい
[2:13:08] 阿吽呼吸: 高木がすきそうな子だな
[2:13:17] hinakoooo_fn: じゃあ、未来の記憶で医者やってたって言ったらありなのか？
[2:13:30] TYdaaa: 右クリックおしてるからじゃない？
[2:13:38] 奄美迦楼羅: 見覚えのある車
[2:13:41] ネオちー: お
[2:13:57] inuemonn: お
[2:14:47] aiueoo701: あれはせこいよな
[2:14:50] magical_ba77: みこだよ普通にきしょかったよな
[2:14:54] dmgtmpgm: マジで葉惜しかった
[2:15:03] まことこま: インパウンドされたな
[2:15:11] tuba2525: 消せるコマンドやね、基本警察しかしちゃダメ
[2:15:13] _るるちゃん: ないとらー！
[2:15:23] furunakisate: valo上手い人はやっぱ上手いよな
[2:15:30] たくみ0928: 高木行け
[2:15:35] maharu4u: 高木危なかったな
[2:15:43] magical_ba77: 大型今日ないのかな？
[2:16:05] gahakq: @magical_ba77 相手批判してるお前が1番きしょいけどな
[2:16:36] magical_ba77: @gahakq フォローしてからコメントしてね BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail
[2:16:38] maharu4u: クロロおる
[2:16:42] ネオちー: 見るな見るなｗ
[2:16:43] itijou_: チャルロス最高だな
[2:16:47] sirasuzyusu: 平和にねー
[2:16:57] むつっきー: チャル優秀すぎる
[2:17:00] つっきー3355: www
[2:17:21] ネオちー: あれおもろいの？
[2:17:48] as_desu: wwww
[2:17:50] tooo818: wwwwww
[2:17:51] バイオ太郎: ｗ
[2:17:52] はりぷ: wwwww
[2:17:53] makiyyyyy: www
[2:17:55] mitsuya115: wwwwww
[2:17:57] itijou_: www
[2:17:58] ネオちー: ｗ
[2:17:58] maharu4u: 似てる
[2:17:59] jackass0012: ｗｗｗｗｗｗｗ
[2:18:01] ryu5ei_: www
[2:18:07] つっきー3355: wwww
[2:18:19] TYdaaa: www
[2:18:26] ネオちー: 今日かっこいいなｗ
[2:18:35] あめあられさん: お年玉貰お
[2:18:43] hideonjetttt: 博士きまってるなぁ
[2:18:56] 奄美迦楼羅: ２きる
[2:18:56] _るるちゃん: www
[2:18:58] magical_ba77: wwww
[2:18:59] airplayerx: やばすぎ
[2:18:59] mitsuya115: wwwwww
[2:19:00] ぶたぁー: wwwwwwww
[2:19:02] むつっきー: wwwwwwwwwww
[2:19:02] magical_ba77: つよ
[2:19:05] ネオちー: ナイスｗｗｗ
[2:19:05] ぺきち: padか？
[2:19:06] tanakadesukedo: ww
[2:19:08] つっきー3355: wwww
[2:19:08] noahrrx_: wwwww
[2:19:14] sirasuzyusu: ダヴォキル
[2:19:14] blaotnkzz: wwwwwwwwww
[2:19:16] ネオちー: ありけんはそれで良い
[2:19:25] 阿吽呼吸: たじたじ
[2:19:25] むつっきー: グッダグダwww
[2:19:37] おむだお: たしかにパッドはあるかもね
[2:19:46] TYdaaa: pad繋がったまんまだと歪みやすいらしいね
[2:20:08] バイオ太郎: 災難だな
[2:20:26] hideonjetttt: https://clips.twitch.tv/RockyGlutenFreePandaPupper-20b6sG7k0p0NaNyE
[2:21:09] takoase_0_: つれていくのは。。
[2:21:18] あめあられさん: リロードして殴ったか
[2:21:19] TYdaaa: 護送だったら銃撃てるんだけどな
[2:21:27] tanakadesukedo: 病院に連れてっていいんだっけ
[2:21:27] たくみ0928: 歪みならいいんじゃね？
[2:22:00] 奄美迦楼羅: あ
[2:22:01] hideonjetttt: あ
[2:22:03] たくみ0928: あ
[2:22:03] 5keys_707: あ
[2:22:06] grimoooooo: なしまさん
[2:22:07] airplayerx: あ
[2:22:08] dox404: あ
[2:22:12] だるせーにょ: あ
[2:22:12] mitsuya115: あ
[2:22:13] つっきー3355: あ
[2:22:13] hinakoooo_fn: 歪みって言いな
