[0:00:10] れれらい: タイトルかわった〜
[4:48:35] 鬼九: ｗｗｗ
[4:48:37] tenka2545: ｗｗｗｗｗ
[4:48:40] mini_gori: wwwwwww
[4:48:45] みみまい: チャルのおかげでみんなの起床率高くなつてる
[4:48:46] icenine_9029: みんな乗り気だえ
[4:48:50] papapapupepon: チャルロス悲しい話しかできないぞ
[4:48:51] もずくみこみこ: これは れりあ絶対くるえwww
[4:48:52] mini_gori: やめたれよwwwwwww
[4:48:54] Kaminagi_TKP: みんな知ってるｗ
[4:48:57] ノーシュ: 政宗不憫ｗｗｗｗ
[4:49:01] periodfn88: ん？
[4:49:05] 狐爪: ww
[4:49:14] みみまい: 無駄に傷つくｗ
[4:49:16] co_reich: 知ってる人には気が重いんだろうなｗ
[4:49:20] もずくみこみこ: 政宗の恋バナは今は気まずいえwww
[4:49:22] sushiboysomg: みんな知ってる
[4:49:23] Sean_kmsky: 勝手にフラれとるｗｗｗ
[4:49:40] ノーシュ: まさむねの話リアルに重いんよｗ
[4:49:58] きえさん: すんくん集合はやいな
[4:50:01] co_reich: なんか高校生みたいなテンションになってるな
[4:50:17] atsumori_pop: わきをはたくさんあるだろなｗ
[4:50:24] もずくみこみこ: 政宗弄られてるえw
[4:50:30] dattekare_panjyan: 政宗見失ったえ
[4:51:14] dattekare_panjyan: みんな来たw
[4:51:19] mini_gori: いいね〜
[4:51:28] iytreszhii: あっ
[4:51:39] もずくみこみこ: それが恋バナの服かえwww
[4:51:44] 鬼九: ｗｗｗ
[4:51:46] みみまい: 有坂さんｗｗｗ
[4:51:46] si0083: ｗ
[4:52:03] mini_gori: きちぃw
[4:52:22] みみまい: 地獄だえｗ
[4:52:45] learnenglish12345: やめとけw
[4:52:46] aoyanx: キャバクラタイムだえ
[4:52:52] dattekare_panjyan: れりあw
[4:52:53] 肉球0: すんの年齢びっくりするえ
[4:52:58] みみまい: 上なんかｗｗｗ
[4:53:09] ティーセブン: 餡でないのかよｗ
[4:53:12] Kaminagi_TKP: 会議室ｗ
[4:53:17] extravaganza0314: れりあちゃんはドMの妄想族なんよ（笑）
[4:53:26] もずくみこみこ: すん早いえwww
[4:53:55] alfredo_the_meat_boy___: vioSPIN1 vioSPIN2
[4:53:57] alfredo_the_meat_boy___: vioSPIN3 vioSPIN4
[4:54:00] もずくみこみこ: 男しか居ないえw
[4:54:16] iytreszhii: アンブレラって女の子何人？
[4:54:20] atsumori_pop: むさくるしいえ
[4:54:31] 肉球0: アンブレラは4人
[4:54:31] たろをまんじ: 有坂ww
[4:54:31] Kaminagi_TKP: 女子組は一応Vだからねｗ
[4:54:33] みみまい: 誤射ｗｗｗ
[4:54:39] もずくみこみこ: 個人医入れると4人だえ
[4:54:43] iytreszhii: 一旦vか
[4:54:46] きえさん: アンブレラ女子は4人ですね
[4:55:10] ティーセブン: 大人な別れだえ
[4:55:12] ノーシュ: 絶対うそだえ～、31でそれは引きずるえ
[4:55:16] kinakooi: ちゃるは優しいな
[4:55:18] dattekare_panjyan: さらに気まずいえw
[4:55:18] みみまい: すん嬉しそうやんｗｗ
[4:55:47] もずくみこみこ: 泣いてたえ BibleThump
[4:55:56] iytreszhii: わちしはむりだえ
[4:56:08] sylphxrz: ６
[4:56:35] きえさん: あーりーさーかー🥺
[4:56:38] みみまい: えーーー
[4:56:39] haru524288: あ
[4:56:40] ティーセブン: きっつｗｗｗｗｗ
[4:56:40] dattekare_panjyan: みんな仕事と私どっちが大事パターンなんだね
[4:56:40] gundora23: ちょっと重いか
[4:56:40] ノーシュ: ｗｗｗｗｗｗｗ
[4:56:41] もずくみこみこ: うわぁ
[4:56:41] iytreszhii: おっも
[4:56:41] weygw_: ストリーマー同士では無い話だ
[4:56:42] しゅららぼん03: え？
[4:56:43] mini_gori: きっつ
[4:56:44] lsdlsd5: 有坂は色々リアルだからなw
[4:56:45] tottocohamu: うわあ
[4:56:45] icenine_9029: きついえ
[4:56:45] learnenglish12345: おもすぎる
[4:56:46] Sean_kmsky: えっぐｗｗｗｗ
[4:56:46] kakerun00: 重いぇ
[4:56:46] iytreszhii: え？？？？
[4:56:47] shuya23356: わやだろ
[4:56:48] dondorondoteto: おっも
[4:56:48] tomatotabete: ええ
[4:56:49] ももん縁魅華: widow6Nani widow6Nani widow6Nani
[4:56:49] sofvix: うわあ
[4:56:49] dattekare_panjyan: 笑えないえ
[4:56:49] si0083: ｗｗ
[4:56:49] kinakooi: がちかーーーーーー
[4:56:49] atsumori_pop: うわあああ
[4:56:49] mutuki70: えぐ
[4:56:49] sabachann123456: おっも
[4:56:49] periodfn88: おわりだえ
[4:56:50] 鬼九: 最悪や
[4:56:50] もずくみこみこ: 重いなぁ
[4:56:50] 御免わびる: ぐろいなあ
[4:56:50] 12272006_: wwwwww
[4:56:51] 空気3: えっぐ
[4:56:53] haru524288: ；；
[4:56:54] みみまい: 重い重いｗｗｗ
[4:56:55] iytreszhii: がちぐろい
[4:56:59] Sean_kmsky: こわ。。。
[4:57:00] ノーシュ: 何のためにやめたんだえｗｗ
[4:57:03] もずくみこみこ: それは⋯
[4:57:04] makiu0203: 可哀想すぎる
[4:57:04] たろをまんじ: 有坂可哀想
[4:57:04] ももん縁魅華: 有坂さん BibleThump
[4:57:05] Sean_kmsky: こわいこわい
[4:57:11] truetree39: えぐい…
[4:57:11] kinakooi: ；；
[4:57:14] Sean_kmsky: は？？？？ｗｗｗｗｗ
[4:57:15] みみまい: うわああ
[4:57:15] ナマコ魚雷: え？
[4:57:16] 鬼九: ええ
[4:57:16] gundora23: え
[4:57:16] mini_gori: ！？
[4:57:16] periodfn88: あ
[4:57:17] extravaganza0314: 今
[4:57:17] kakerun00: 一瞬時がとまったぇ
[4:57:18] sofvix: え
[4:57:18] atsumori_pop: おっと？
[4:57:19] sabachann123456: ？？？
[4:57:19] ティーセブン: 情報量えぐいえ
[4:57:19] らもーど: エピソードつよｗ
[4:57:20] haru524288: そっちだった
[4:57:21] ノーシュ: 衝撃的すぎるえ
[4:57:21] iytreszhii: ん？？
[4:57:22] ももん縁魅華: widow6Bikkuri widow6Hatena widow6Hatena widow6Hatena
[4:57:22] makiu0203: ？
[4:57:23] もずくみこみこ: 情報量が多いえ
[4:57:24] periodfn88: ゆ、り
[4:57:24] tottocohamu: ん？
[4:57:24] ゆがた: カオスだえ
[4:57:24] しゅららぼん03: 忙しいえwww
[4:57:25] dekan520: ?
[4:57:26] dattekare_panjyan: 重すぎるえ
[4:57:26] 秋野夏樹: え
[4:57:28] shiki_karakyou: 衝撃wwwwwww
[4:57:29] たろをまんじ: えっど
[4:57:30] moomoon83: 有坂の話はレベルが高すぎるえ
[4:57:31] iytreszhii: ありゃりゃ
[4:57:32] きえさん: お
[4:57:32] lsdlsd5: えぐw
[4:57:32] みみまい: なるほどぉ
[4:57:35] atsumori_pop: 百合の間の挟まる男・・・かえ・・？
[4:57:38] コタロー15: まさかの百合
[4:57:39] みみまい: えええええええ
[4:57:40] ノーシュ: ｗｗｗｗｗｗ
[4:57:40] iytreszhii: 話がすごい
[4:57:41] kinakooi: 衝撃きすぎるえーーー
[4:57:43] makiu0203: ？？？
[4:57:43] mutuki70: ？！？！
[4:57:44] mini_gori: まじかよ
[4:57:45] dekan520: www
[4:57:45] iris__san: www
[4:57:46] もずくみこみこ: えっぐ
[4:57:46] しゅららぼん03: やばいやばいえwww
[4:57:49] 肉球0: おっとっと
[4:57:51] si0083: まじか
[4:57:55] bui_mira: とんでもない女だえ www
[4:57:58] kakerun00: 単体ｗ
[4:58:01] kinakooi: かわいそー？
[4:58:04] 肉球0: 女が本命か
[4:58:09] ももん縁魅華: widow6Hatena widow6Hatena widow6Hatena widow6Hatena widow6Hatena
[4:58:11] もずくみこみこ: 女の人の方が本命ってことだよね
[4:58:12] si0083: ｗｗ
[4:58:13] ojioji2525: ヘビー級だ
[4:58:13] kinakooi: 勝ち重いやん
[4:58:15] mini_gori: 一発目で最高きたじゃんw
[4:58:21] みみまい: 泥沼ｗ
[4:58:26] iytreszhii: たまぬけ！？
[4:58:31] haru524288: してた
[4:58:33] kinakooi: すんありそうだな
[4:58:51] mini_gori: おんおん
[4:58:54] ノーシュ: ｗｗｗｗｗｗｗｗ
[4:58:54] ティーセブン: なんでみんな結婚寸前までいって失敗してんだよｗｗｗ
[4:58:54] みみまい: うわあああ
[4:58:56] 狐爪: えっぐ
[4:58:56] 鬼九: ｗｗｗｗｗｗｗｗ
[4:58:56] mini_gori: wwwwwwwwwwwwwwwwwwwww
[4:58:57] 秋野夏樹: ＷＷＷ
[4:58:57] もずくみこみこ: くわ NotLikeThis
[4:58:57] tottocohamu: wwww
[4:58:57] lsdlsd5: www
[4:58:58] tomatotabete: ｗｗｗ
[4:58:58] しゅららぼん03: アンブレラえぐいwwww
[4:58:58] Kaminagi_TKP: おうふ
[4:58:58] 肉球0: ww
[4:58:59] dekan520: BibleThump BibleThump
[4:59:00] papapapupepon: みんな重いw
[4:59:00] haru524288: ぐろ
[4:59:00] iris__san: ww
[4:59:00] sofvix: ｗｗｗｗｗ
[4:59:01] fuum0110: wwwww
[4:59:01] きえさん: みんな重いのよ恋愛が
[4:59:01] mutuki70: karubisLllllllllllll karubisLllllllllllll karubisLllllllllllll
[4:59:01] si0083: ｗｗｗｗ
[4:59:01] 空気3: みんな重い
[4:59:03] mini_gori: まじかよw
[4:59:03] dattekare_panjyan: みんな不憫だえ
[4:59:05] ノーシュ: なんでこんな強いやつしかいないんだよｗｗｗｗ
[4:59:07] 12272006_: wwwwwww
[4:59:07] ももん縁魅華: widow6Omg widow6Omg widow6Omg
[4:59:08] kakerun00: なんで皆そんなドロドロなんｗ
[4:59:10] みみまい: 激重だえ
[4:59:10] gundora23: なんでみんな重いえ
[4:59:11] もずくみこみこ: 恋バナとはwww
[4:59:11] periodfn88: 暗ブレラ
[4:59:12] kinakooi: ねとられマ
[4:59:16] たろをまんじ: ntr
[4:59:20] mini_gori: キツすぎるえ
[4:59:23] 肉球0: そこまで順調w
[4:59:25] shun0628ns: やばすぎるぇー
[4:59:26] きえさん: みんなNTRされとる
[4:59:31] しゅららぼん03: もうやばいてw
[4:59:34] シノユキ: やば
[4:59:35] extravaganza0314: 48時間後って。
[4:59:39] papapapupepon: こんなん高木聞いたら恋愛怖くなっちゃうよ
[4:59:43] 狐爪: おっも
[4:59:49] blueblue_blueblue: もうつらい
[4:59:51] kinakooi: まじおも
[5:00:01] kinakooi: そうくるとは
[5:00:01] もずくみこみこ: うわぁ
[5:00:02] furunakisate: ええ・・・
[5:00:02] レヴィ99: みんな何歳なんだろ
[5:00:03] 限界コンカフェ嬢: これテレビって動画ながせるのかな
[5:00:05] lsdlsd5: 悲しいよw
[5:00:05] ノーシュ: きっつぅぅ
[5:00:06] みみまい: 最低だ
[5:00:09] blueblue_blueblue: あ
[5:00:11] makiu0203: ……
[5:00:11] mini_gori: 終わってはいるか
[5:00:21] シノユキ: やばいなあ
[5:00:23] kinakooi: 想定してなかって
[5:00:23] しゅららぼん03: もう解散だえwwwww
[5:00:23] もずくみこみこ: テレビ使えるよ
[5:00:26] saki___0922: みんなヘビーだえwww
[5:00:26] si0083: ｗｗ
[5:00:28] iris__san: w
[5:00:32] gundora23: 恋バナ？？？
[5:00:36] shigogono: まさしく暗ブレラww
[5:00:36] 狐爪: ええ
[5:00:37] shuya23356: グロい笑
[5:00:40] lsdlsd5: おめ
[5:00:40] 御免わびる: もうすぐやん
[5:00:40] co_reich: おおー、おめでとう！
[5:00:40] mini_gori: ええええええええ
[5:00:42] si0083: おめーー
[5:00:44] 狐爪: おめでたい
[5:00:44] sabachann123456: おおおお
[5:00:45] gundora23: おめでとうだえ！！！
[5:00:47] makiu0203: 🎉🎉🎉
[5:00:53] ももん縁魅華: そーだぇ udukikumiFurifuri udukikumiFurifuri udukikumiFurifuri
[5:00:54] nonono090: めでたいえ
[5:00:55] もずくみこみこ: べビーちゃん誕生だえ
[5:00:55] extravaganza0314: 有坂氏〜おめでとう㊗️
[5:00:55] kinakooi: テレビでＢＧＭながそ
[5:01:13] kinakooi: ゆっくりいこ
[5:01:17] みみまい: おいおいｗｗｗ
[5:01:18] co_reich: 急にみんながお兄さんに見えてきた
[5:01:18] ティーセブン: おわっとるｗｗ
[5:01:18] もずくみこみこ: おいwww
[5:01:19] bui_mira: wwwww
[5:01:19] 肉球0: w
[5:01:23] kinakooi: えぐいてーー
[5:01:23] mini_gori: 中学生wwwwwww
[5:01:24] らもーど: すんさんって３０超えてるの！？
[5:01:24] 鬼九: ｗｗｗ
[5:01:25] シノユキ: www
[5:01:26] blueblue_blueblue: 終わってるwwww
[5:01:28] kinakooi: PopNemo
[5:01:30] 肉球0: すん35
[5:01:35] デクだよ: すんが一番年上だえ
[5:01:36] kinakooi: arikenSyazai_HF arikenSyazai_HF arikenSyazai_HF
[5:01:42] bui_mira: 平均年齢高めだえ
[5:01:48] 肉球0: 有坂が36かな
[5:01:54] co_reich: 20って早いんか？
[5:01:55] ティーセブン: SAY
[5:01:58] らもーど: すんさん声若。。
[5:02:07] kinakooi: 女性陣まだいなくてよかっただえーー
[5:02:12] みみまい: ｗｗｗｗｗ
[5:02:13] ティーセブン: ｗｗｗｗｗ
[5:02:13] ノーシュ: ｗｗｗｗｗｗｗｗ
[5:02:14] Sean_kmsky: すごｗｗｗ
[5:02:14] 鬼九: ｗｗｗｗｗｗｗ
[5:02:14] まるゆ15: wwwwww
[5:02:16] ミりン: www
[5:02:16] sabachann123456: ww
[5:02:18] fuum0110: wwwww
[5:02:18] 秋野夏樹: ＷＷＷＷＷＷ
[5:02:19] kinakooi: えぐいーーーーー
[5:02:20] saki___0922: wwwww
[5:02:20] mini_gori: あーwwwwwww
[5:02:33] もずくみこみこ: れりあなら来ても大丈夫だえwww
[5:02:37] nonono090: w
[5:02:40] sabachann123456: えっぐw
[5:02:40] みみまい: ｗｗｗｗｗｗｗｗ
[5:02:41] co_reich: 鉄板ｗ
[5:02:42] tottocohamu: wwww
[5:02:42] lsdlsd5: www
[5:02:44] シノユキ: えぐw
[5:02:46] nonono090: えぐいえ
[5:02:46] shuya23356: 笑笑
[5:02:50] periodfn88: BSS
[5:02:58] ノーシュ: 悲しいなあ
[5:03:10] もずくみこみこ: えぐ
[5:03:18] 狐爪: 痴漢は終わってるな
[5:03:26] みみまい: それはあかんｗｗ
[5:03:26] Sean_kmsky: 計画性がないんかなー
[5:03:26] kinakooi: ちかんまじか
[5:03:34] bui_mira: 痴漢でゴールは草
[5:03:42] dattekare_panjyan: 私の元生徒指導の先生は盗撮で捕まってたw
[5:03:45] kinakooi: いくとこまだいってな
[5:04:19] きえさん: いいなぁチルタイム
[5:04:45] weygw_: 出会いの場がなさそう
[5:04:52] もずくみこみこ: www
[5:04:57] みみまい: いいねぇｗ
[5:04:58] mini_gori: えらいw
[5:05:03] 肉球0: いいパパなりそー
[5:05:07] co_reich: ありけんは子供をかわいがろうとして一緒に格ゲーして初狩りしちゃいそう
[5:05:08] nonono090: 今日は大型もうないみたいですか？？
[5:05:08] Kirishisu: パパ活ね
[5:05:37] lsdlsd5: www
[5:05:38] mini_gori: パパくさーい
[5:05:39] みみまい: 愛が重いｗｗ
[5:05:42] furunakisate: いいね
[5:05:46] co_reich: 良い話してるなあ
[5:05:58] もずくみこみこ: ありちーは良いパパになりそう
[5:06:31] atsumori_pop: えぐｗ
[5:06:35] みみまい: えええええ
[5:06:38] dattekare_panjyan: 友達と帰りたいわw
[5:06:41] papapapupepon: 嫌われるパターンやぞw
[5:06:52] weygw_: 逆にグレそう
[5:07:03] periodfn88: ？？？
[5:07:05] みみまい: 楽？
[5:07:12] atsumori_pop: 🔥？
[5:07:13] もずくみこみこ: あ、やばい発言やぞw
[5:07:15] ふろ自動: 実際楽わかるw
[5:07:28] ks230011: 言いたいことはわかる
[5:07:34] weygw_: 面倒見させる前提www
[5:07:46] みみまい: ええええ
[5:07:49] jinseimuri: え
[5:07:53] sabachann123456: えあ
[5:07:53] dattekare_panjyan: マジか
[5:07:54] ティーセブン: 2卵生か
[5:07:56] Sean_kmsky: 似てない双子か
[5:08:02] mini_gori: 二卵性か
[5:08:06] 鬼九: ｗｗｗ
[5:08:06] tottocohamu: w
[5:08:11] ノーシュ: 緑髪の双子ｗ
[5:08:13] きえさん: 緑髪の双子きまずw
[5:08:18] extravaganza0314: 笑えるー
[5:08:22] みみまい: 大変そうやねぇ
[5:08:27] もずくみこみこ: あーたしかに
[5:08:33] Kaminagi_TKP: 姉弟で仲悪いパターンも全然あるぞ
[5:09:02] atsumori_pop: なんでこんな時にボスがいねえんだ・・・！！！！！！！！！！！
[5:09:02] Sean_kmsky: 社交的にはなるかもな
[5:09:19] 鬼九: 水分がやばいえ
[5:09:51] 狐爪: www
[5:09:52] hiromuucho1: wwww
[5:09:56] きえさん: えぐ
[5:10:02] ティーセブン: わきを流れ弾すぎるｗｗｗ
[5:10:18] みみまい: 手練れｗｗ
[5:10:30] kazu_kt: 餡の中で彼氏として連れて来て正解な奴おるか？w
[5:10:37] lsdlsd5: わきをは気に入られるだろうなw
[5:10:53] もずくみこみこ: コミュ力最強そうだもんなぁ
[5:11:04] co_reich: 人生話だなあ
[5:11:05] harumaki040212: ww
[5:11:12] mini_gori: 歳がなーw
[5:11:12] きえさん: 三段オチ
[5:11:17] もずくみこみこ: www
[5:11:28] co_reich: なんかでも良い時間だな
[5:12:07] もずくみこみこ: 結末知ってても心が痛い
[5:12:23] setunry: 何回聞いてもグッとくるw
[5:12:25] ぷりぷりえび炒飯: NotLikeThis
[5:12:44] k0u0722: BibleThump
[5:13:10] tigersliker1967: ちょっとレべチだぇw
[5:13:44] ノーシュ: 高校生の時の話やな
[5:13:45] きえさん: ぷうせんにいさんもこの世界でNTR未遂されてるからな
[5:14:24] mini_gori: wwwwwww
[5:14:30] もずくみこみこ: www
[5:14:34] ノーシュ: ｗｗｗｗｗｗｗｗ
[5:14:36] jaga923: ｗｗｗｗ
[5:14:38] 鬼九: ｗｗｗｗｗ
[5:14:48] もずくみこみこ: wwwwww
[5:14:49] みみまい: ｗｗｗｗｗ
[5:14:49] ノーシュ: なんでだよｗｗｗｗ
[5:14:52] dondorondoteto: wwwwww
[5:14:54] sabachann123456: www
[5:14:57] dattekare_panjyan: 弱すぎるw
[5:14:57] fuum0110: wwwww
[5:14:59] hinakoooo_fn: wwww
[5:15:56] mini_gori: お
[5:15:59] ティーセブン: ｗｗｗｗｗ
[5:16:01] みみまい: ｗｗｗｗｗｗｗ
[5:16:02] 鬼九: ｗｗｗｗｗｗｗｗ
[5:16:03] mini_gori: wwwwwwwwwwwwww
[5:16:06] Kaminagi_TKP: オチがｗ
[5:16:06] sabachann123456: ww
[5:16:08] fuum0110: wwwww
[5:16:08] 秋野夏樹: ＷＷＷＷＷＷＷＷ
[5:16:09] hiromuucho1: wwww
[5:16:25] ノーシュ: 足折っていけｗ
[5:16:39] みみまい: うわああ
[5:16:43] もずくみこみこ: やば
[5:16:43] tottocohamu: うわw
[5:16:44] periodfn88: あ
[5:16:45] learnenglish12345: www
[5:16:45] lsdlsd5: は？
[5:16:45] ノーシュ: やりましたー
[5:16:45] atsumori_pop: めんどくせえｗ
[5:16:46] みみまい: ALLINはやばい
[5:16:47] hahahaijtkrkdjsnssk: あ
[5:16:47] mini_gori: はいwwwwwww
[5:16:47] mutuki70: おっと
[5:16:47] 鬼九: おっと
[5:16:48] furunakisate: オールインはだるいw
[5:16:54] ぶたぁー: うわ
[5:16:54] dattekare_panjyan: 火種持ってくるのはやw
[5:16:55] しゅららぼん03: タイミングw
[5:16:57] もずくみこみこ: 何してるんだえ
[5:16:57] 秋野夏樹: あいつらwww
[5:17:00] tarou0796: 火種コンビw
[5:17:00] ゆがた: 重すぎるってぇ
[5:17:01] allie2209: 同期いなくなるか？
[5:17:04] atsumori_pop: オールインはメンドクセエぞお
[5:17:08] mutuki70: なにやってるんだえ
[5:17:10] 肉球0: 問題児w
[5:17:11] pldia20: あの二人マジイキりすぎ
[5:17:12] icenine_9029: めんどくせええwwww
[5:17:12] 鬼九: おいおいおい
[5:17:17] Sean_kmsky: 一番面倒な感じになってるｗｗｗ
[5:17:21] dattekare_panjyan: みんなで謝罪か
[5:17:21] もずくみこみこ: ALLINはやばいえ ボスが居ない時に
[5:17:34] みみまい: 火種はやばいえ
[5:17:41] みみまい: ALLINやばい
[5:17:43] icenine_9029: ALLINとみんなで恋バナするえ
[5:17:51] iytreszhii: 説教せななこれ
[5:17:56] papapapupepon: コビーでいくか
[5:18:01] dattekare_panjyan: 名前そのままだとヤバいえ
[5:18:07] extravaganza0314: 有坂さん胃痛ポジだな（笑）
[5:18:13] manrikiking: ボスは抗争したがってる 捕まってるなら抗争だよ ナメられてる
[5:18:14] もずくみこみこ: 犯罪のポンなら分かるけど 抗争の火種となるとなぁ
[5:18:37] みみまい: 重い話が続くｗｗｗ
[5:18:38] allie2209: 正直抗争みたい
[5:18:44] もずくみこみこ: それもやばい
[5:18:49] Kaminagi_TKP: それはそうｗ
[5:18:51] si0083: ｗｗｗ
[5:18:55] レヴィ99: それも、、
[5:18:58] nouka5hima: そんな中学生みたいなノリでいたんかい！
[5:19:04] みみまい: あーあ
[5:19:12] jinseimuri: 子供 karubisLllllllllllll karubisLllllllllllll
[5:19:13] riou18: クビか？
[5:19:15] もずくみこみこ: やらかしたなぁ
[5:19:28] ミりン: 高木w
[5:19:29] atsumori_pop: オールインは全力で噛みついてくるよなあ
[5:19:29] もずくみこみこ: ぼしゅー
[5:19:30] Sean_kmsky: まぁ経験だえ
[5:19:32] w4t0_: これはこっちが悪いからボスも擁護してくれないw
[5:19:34] dattekare_panjyan: ボス居ないもんねw
[5:19:34] iytreszhii: ボスがいないところで
[5:19:46] みみまい: すん？
[5:19:46] kazu_kt: そりゃ素性隠して嗅ぎ回れたら良い気はせんよな
[5:19:50] ruin0077: 恋バナで有耶無耶にならないかえｗ
[5:19:56] もずくみこみこ: いちばんめんどいギャンかも
[5:19:56] shun0628ns: wwwwwww
[5:20:06] jinseimuri: w
[5:20:14] shuya23356: チャルロス同期いなくなるけど頑張れよ
[5:20:28] furunakisate: 幹部だけいくのがいいねw
[5:20:31] Sean_kmsky: 子供の遊びと思ってもらった方がいいｗｗ
[5:20:33] もずくみこみこ: まぁ確かに
[5:20:35] mini_gori: ボスいないしな
[5:20:51] icenine_9029: チャルがいれば和むえ
[5:20:52] みみまい: チャル気を付けてｗ
[5:20:53] Sean_kmsky: えｗｗｗｗ
[5:20:56] 鬼九: あ
[5:20:57] atsumori_pop: シリアスシーンだえ
[5:20:57] 狐爪: ！？
[5:21:01] きえさん: れむ
[5:21:02] もずくみこみこ: ヤバwwwこんな時に
[5:21:02] dattekare_panjyan: れむくんいる
[5:21:03] Kaminagi_TKP: 有坂さんいるのありがてぇ
[5:21:03] Sean_kmsky: 壊れたｗｗｗ
[5:21:04] バブみわかりみありけり: まさかのチャルw
[5:21:09] kakerun00: ドキドキするぇ
[5:21:11] dattekare_panjyan: 魂が出てるえ
[5:21:18] きえさん: こんな時にれむは...
[5:21:19] ももん縁魅華: 有坂さん今日は大変だ
[5:21:32] o5_oma: 有坂さんの名前変えなくて大丈夫か？ww
[5:21:37] weygw_: 有坂さんの名前笑
[5:21:37] shuya23356: うちのようがすみません笑
[5:21:38] furunakisate: 恋バナしようぜ
[5:21:40] mirimu77: 声ちゃんとした方がいいかもww
[5:21:45] みみまい: こわいなぁ
[5:21:49] jinseimuri: すべるなよw
[5:21:50] もずくみこみこ: 空気読むだえw
[5:21:50] Sean_kmsky: ボスがいないときに限って問題て起こるよね。。
[5:21:51] はちじょうはん: れむくん怖
[5:21:53] きえさん: 焦ってる
[5:21:55] レヴィ99: 和ごましたら反省しないだろあいつら
[5:22:07] twmonitor: ちょけてんのか？ってこじれない？ｗ
[5:22:08] Kaminagi_TKP: 恋バナ参加しないから～
[5:22:18] atsumori_pop: 火種要員の2人だから仕事はしてはいるか
[5:22:21] みみまい: わからんぞ
[5:22:24] iytreszhii: 説教はアジトでね
[5:22:35] もずくみこみこ: 怖いぞーw
[5:22:44] きえさん: シリアスパートきた
[5:23:09] みみまい: シリアスいけるかえ？
[5:23:21] learnenglish12345: シリアス頑張れ
[5:23:23] atsumori_pop: シリアスブレイカーもおもしろそうだえｗ
[5:23:32] みみまい: こっちが吐きそうｗ
[5:23:38] iytreszhii: しかもギャングがw
[5:23:49] manrikiking: 餡ブレラのメンバー拉致られてなぁなぁにして笑いで誤魔化すのはダメじゃね？
[5:23:55] みみまい: うわ
[5:23:55] もずくみこみこ: 観測者は怖さ知ってるからドキドキだえw
[5:23:57] kakerun00: こっちがドキドキしてきた
[5:24:14] もずくみこみこ: 空気が違うえ
[5:24:18] waka919: 元ネタ通じなかったら話し方でガソリン追加になりえるねw
[5:24:24] manrikiking: ビビるな 餡ブレラの方が格は上だ
[5:24:33] みみまい: こわいこわい
[5:24:35] w4t0_: 沈めてもらっていいですw
[5:24:46] レヴィ99: 100%こっちが悪いやんw
[5:24:50] ティーセブン: ｗｗｗ
[5:24:56] meganeman555: ごめんなさい…
[5:24:57] しゅららぼん03: えぐいw
[5:24:58] みみまい: やばい、、、
[5:25:05] icenine_9029: 笑っとるwww
[5:25:07] shuya23356: うちのようがすみません
[5:25:15] もずくみこみこ: ちょっと怖い目にあわせてやって下さいw
[5:25:19] w4t0_: なしまがいてよかったw
[5:25:23] sushiboysomg: 高木 よう？
[5:25:30] nick__ski: ALLINも連日大変だなｗ
[5:25:33] sushiboysomg: 脱退か
[5:25:39] みみまい: 殺されるえ
[5:25:39] karinon119: ガチトーンいこう
[5:25:40] ミりン: www
[5:25:40] masa4985: 否定から入っちゃだめ
[5:25:42] mini_gori: wwwwwww
[5:25:45] bank4268: 事前に止めてくれてよかったww
[5:25:47] しゅららぼん03: もう言い訳から入るやんw
[5:25:57] ruin0077: 一発頭撃ち抜いとくえｗ
[5:25:59] y_t_trd: 後輩なのにww
[5:26:02] nenenba3: こっちが悪くても謝らず抗争するのがギャングだぇ
[5:26:03] Sean_kmsky: なぜか高木もキレてるｗｗｗ
[5:26:03] もずくみこみこ: おいおい
[5:26:08] きえさん: ひどい
[5:26:13] dattekare_panjyan: おい高木w
[5:26:17] レヴィ99: 4人乗りの車じゃないる
[5:26:18] きえさん: ここにきて連絡交換
[5:26:20] ただのぶいすぽ好き: 高木w
[5:26:20] Kaminagi_TKP: ４人乗りだから大丈夫だえ
[5:26:21] ノーシュ: なんで高木キレてんねんｗｗｗ
[5:26:24] ティーセブン: ｗｗｗｗｗ
[5:26:27] si0083: 髙木ｗ
[5:26:28] ただのぶいすぽ好き: www www
[5:26:30] みみまい: こわい
[5:26:32] 鬼九: ｗｗｗ
[5:26:40] ももん縁魅華: すみません🙇‍♀️All inさん BibleThump ちゃんと教育しなきゃダメぽ BibleThump 言い方 widow6Bikkuri やばぃて widow6Bikkuri
[5:26:47] ただのぶいすぽ好き: 高木は切れちゃだめだよ
[5:26:55] mini_gori: wwwwwwwwwwwwww
[5:27:03] dyism27: それはそうで笑う
[5:27:05] みみまい: あいつらｗｗｗｗ
[5:27:10] sushiboysomg: あいつらがひどいw
[5:27:16] meganeman555: wwwwww
[5:27:18] ただのぶいすぽ好き: www
[5:27:19] もずくみこみこ: 逆ギレしてボコられる世界線も見てみたいw
[5:27:19] mini_gori: えらいw
[5:27:25] jinseimuri: ありけんいてよかったw
[5:27:26] きえさん: ひどい
[5:27:28] Kaminagi_TKP: ルフィに殴られて良かった
[5:27:29] みみまい: 締めないと
[5:27:39] iytreszhii: こいつら反省してないな
[5:27:39] まじぇすてぃっく: こいつら終わってるｗ
[5:27:41] みみまい: ちゃんと謝らないと、、、ｗｗｗ
[5:27:41] mini_gori: 4人乗り乗って来た意味w
