[0:00:18] Muuwannn: wow
[4:14:14] K3nNicolai: หะ
[4:14:15] saifa_m: มันดัก
[4:14:16] teatealnw555: ห่ะ
[4:14:17] ggop5119: FootYellow FootYellow FootYellow FootYellow FootYellow
[4:14:17] JenniePond: ใบเลย
[4:14:17] nookkieiiz: ให้ลุงตัดสินใจ
[4:14:17] FoJet_: FootYellow
[4:14:18] class_asian_no1: ต้องแจกเตือนสักใบ อ่ะ ไม่งั้น ทำอีกอ่ะเรื่อยๆ
[4:14:18] konpojjso: หะ
[4:14:18] ivan_da2006: จงใจเลย
[4:14:18] kyubi_1998: conde referido Nware pliss
[4:14:18] anuvat3: PG คือไรบอกที ถามรอบที5ละ
[4:14:20] Jeleonenighstand: ไม่เล่นใบเว้ยใบมันจะไปสนุกอะไรแชท
[4:14:20] bukhare: พ้อละ1
[4:14:21] OadQc: จอดรอแบบนี้จงใจป่าง
[4:14:21] deen9628: เล่นงี้ พอตัวเองโดนก็ร้องกันอีก
[4:14:22] evilblackguy009: อันนี้ไม่ได้ต้องให้ใบ
[4:14:22] surachat_s: FootYellow FootYellow
[4:14:22] monz_03: FootYellow FootYellow FootYellow
[4:14:22] ボスクン: ต่อไปก็เอาให้ร้อง
[4:14:22] ajaxxxz_: ใครเขาบ่น
[4:14:22] yugizza: เเจกใบไป
[4:14:23] MuiLive: StinkyGlitch
[4:14:24] toonhaa: เทค2
[4:14:24] wanfaron10: คนเดีวยไม่เท่าไรน่ะสองคนเลยไม่โดดสักคน
[4:14:24] maxshellz: ดักเลยอะ
[4:14:24] kikkermaja56: อย่าเลยเดียวร้องอีด
[4:14:25] taofilm: โดด
[4:14:25] reonardd13: จงใจๆ เอาไป 1ธง
[4:14:25] finsishz: ชิบะno.1
[4:14:25] rew_zzzzz: pg
[4:14:25] juniijune: ต้องโดนใบบ้างละเคสแบบนี้
[4:14:25] kriangkrai_tv: สงสัยอยากเล่นสงครามใบ
[4:14:26] maneerut1121: จงใจเกิ้นนน
[4:14:26] tabank: ปั้มรักชาติ
[4:14:26] de_send_: เราไม่มีPG
[4:14:26] shon_dohee: ต้องเอาชิบะเป็นตัวอย่าง
[4:14:27] per445566: น่าจะเด็กเอ๋อด้วย
[4:14:28] chumphon1234: เอ๋อเเล้ว
[4:14:28] pppawww: จงใจ
[4:14:28] oonlovebee0042: ใบเขียว
[4:14:28] night_nito: ไม่ลงรถ
[4:14:29] unnieee239: กฎไม่เข้มพอ
[4:14:29] cj_2506: PGล่ะ1
[4:14:29] parkhwayeon: มีเป็นวีดีโอเลย 55555555555
[4:14:29] arnuspanpah: เขาทำได้เราทำได้แค่นั้นพอ
[4:14:29] noomza12345za: @anuvat3 กุบอกไปแล้วเมื่อกี้
[4:14:29] Oasis_Live_Forever: FootYellow FootYellow FootYellow FootYellow
[4:14:29] bigbarcelona6: อย่าว่าเขามันเป็นทริค
[4:14:30] fbinot1: จงใจชัดเรย
[4:14:30] JenniePond: FootYellow FootYellow FootYellow
[4:14:30] ale_eyaas: สวัสดีครับ
[4:14:31] inuzukaz_: ตามเกมไป
[4:14:32] songsuda555: อย่ายอมน๊า
[4:14:32] little_ww: โอเคค่ะ
[4:14:33] sunthon2661: แชทใจ
[4:14:33] bigmoutten: พอๆ
[4:14:33] sunitra11: ใบเหลือง
[4:14:33] conner_x01: เขาไม่รักชีวิตตัวเอง
[4:14:34] babysicklll: ต้องใบมั้ง
[4:14:34] hshshsbkxoxks: Kappa
[4:14:34] Davicii999s: มันยังด่าแจ้คน่าเกลียดเลย
[4:14:35] no_name_ku_: pgคับแบบของนครบาล
[4:14:35] FewwXD: PG ปะ
[4:14:35] mookahaz: ก็ธรรมดาลุงSAT=...ที่เหลือเติมเอาเอง
[4:14:36] WinzBusy: power gameing
[4:14:37] kamonwal44: พอๆ
[4:14:37] anusit71: วันนี้เสียไข่ปลาไป 300K เบาๆ
[4:14:37] j0park0: แจกใบให้มันจำครับ
[4:14:37] pterbabybigboy: เบาค้าบ ยอมได้ยอม
[4:14:37] VAGoDWtK: 555พอเราทำบ้างเค้าร้องเเน่นอน
[4:14:37] rew_zzzzz: pg vol
[4:14:38] icezii729: @toeib ต้องรอดูครับ
[4:14:38] mybob13: เอ๋อเฉย555
[4:14:39] taofilm: สก็อสยังโดน
[4:14:39] sittinonnew: ผมว่าต้องให้มันชัดเชนอะ
[4:14:39] toby_ming: เคยมีคนโดนนิ
[4:14:39] anucha_ff: แค่ ชู้ พอละ เจอกุยาวๆไรงี้55555
[4:14:40] a_zero_one: ต้องโดนแล้ว
[4:14:40] give_up_l: จงใจตายอ่ะ
[4:14:40] nu_sogood: ง่ายๆคับความเร้วมาเต้มที
[4:14:41] tankbeer1: ดูเกมครับๆ
[4:14:41] EARK_13: ช่ายๆๆ น่าจะต้องตามเกมเอา
[4:14:42] sorryprettyboiid: สรุปเอ๋อมั้ยครับบอกหน่อยใครรู้
[4:14:43] kasideth: 555555555555
[4:14:43] nioralone_777: ถ้าใจอ่อนยอมอีกก็จะทำอีก
[4:14:43] RbSymbolize: เอ๋ออออ
[4:14:43] nongone3: เองร้อนแทนไร แชท
[4:14:44] sunitra11: ถามสิ
[4:14:44] team096: ได้ใบคับเพราะเห็นมีคนอุ่มแล้วบอกมาแบบนี้คับ
[4:14:44] anuvat3: PG คือไรบอกผมที
[4:14:45] laika_kuroda: PG คือรักชีวิตครับแต่เซิฟนีไม่น่ามี
[4:14:48] tongnismo: ตอนนครบาลก็เคยตกลงกันแล้วไง ว่าชนปั้มต้องโดดก่อน
[4:14:48] mixxer200: ถ้าลุงยอมอีก ก็จบเหมือนเดิม
[4:14:49] Phuthanadon03: ไม่มี pg งงไรนิ
[4:14:50] pach_2002: มันมีประเด็นกับนครบาลแล้วแบบนี้
[4:14:51] taynino: เอ๋อเเล้ว
[4:14:51] dinosaur_ofc: @anuvat3 Power Gaming กระทำการเกินจริง ที่ชีวิตจริงไม่สามารถทำได้
[4:14:52] little_ww: ว่าไงก็ตามนั้นงับ
[4:14:52] maneerut1121: ช่วยยังไงละบอกสิ5555
[4:14:52] PatiparnTV: เซิฟนี้บ่มีpg้ด้อ
[4:14:53] furkonfk2kk: ไม่มี PG ครับ
[4:14:54] lovetoppy: ไม่ได้ ต้องโดดก่อนชนปั๊ม
[4:14:54] thug_moowan: เอ๋อไหมนั้น
[4:14:54] bio_beta: ไม่ต้องไล่หาแล้ว ดักปั๊มพอ
[4:14:55] james_sjames: @a_ramtv เขาเอาpg ออกรุ้ไรบเางไหมเนี่ย
[4:14:57] markoconner: แชทเดือดมากตอนนี้
[4:14:57] babysicklll: ใช่ร้อนน 555
[4:14:58] partx_live: เดี๋ยวดราม่าอีกดูทรงละ
[4:14:58] reonardd13: พอแล้วนะแชท เดี๋ยวลุงเครียร์เองน้าา
[4:14:58] nidnoy55555: ใครเอ๋อบ้างอะ
[4:14:58] FewwXD: PowerUpL
[4:14:58] brightgamerkung__: โดนเหมือนนครบาลไหมอะแชทอย่างงี้อะ
[4:14:58] mybob13: เอ๋อเฉย555มันเอ๋อ
[4:14:59] KaRaSuKung285: เบื่อแทนครับ555
[4:15:00] cuz_iu: VOL =การรักชีวิตตัวเองไม่ทำอะไรเกินไปจากชีวิตจริงชีวิตจริงมีใครเค้าจงใจชนปั้มมั้ยครับ
[4:15:00] bxllzq_: ถ้ายอมก้จะมีอีกเรื่อยๆ
[4:15:01] bluebl_: แต่มี VOL นะ
[4:15:01] arlan_4: ไม่มี pg แต่ VOL w'
[4:15:01] mixxer200: ก็จะมีคนทำแบบนี้ไปเรื่อยๆ
[4:15:02] meyouje3010: มันห้ามไม่ได้หรอกเด้อ แชทต้องกี่คน ห้ามได้ไม่หมดหรอก
[4:15:02] dreamdexd: ชิบะ No.1
[4:15:03] kkawmunkaii: ไม่มี pg โหล
[4:15:03] Baphometz6: มันจะมีใครอยากชนปั้มจนตายย??
[4:15:03] gunninix: PG คือ การกระทำเหนือมนุษย์ครับ
[4:15:03] cutewav: จ่าออฟรับจบ
[4:15:04] kasideth: 55555555555
[4:15:06] koylove20105: FootYellow FootYellow
[4:15:06] altitude89: ัเอ๋อรัวๆเลย
[4:15:07] dhfdbfdvhs: ไม่รักชีวิต
[4:15:07] bigbarcelona6: มันห่อซํ้าด้วย
[4:15:08] DaiNo3aw: คิดภาพไล่ดักทุกปั๊มนี่ไม่ต้องเติมน้ำมันกันละ LUL
[4:15:09] krittin199: เอ่ออเฉย
[4:15:09] evilblackguy009: มันไม่ลงรถ
[4:15:10] mybob13: ดูประกาศเอ๋อแล้ว
[4:15:10] flukeee420: FootYellow FootYellow FootYello
[4:15:11] chumphon1234: pg. นี่ใช่สลอตป่าวคับ55
[4:15:11] simeiei007x: แต่มีรักชีวิต
[4:15:12] NirAnkoeDkhiaO: เอ่อเต็มเลย
[4:15:12] harahigh: @dreamdexd เพื่อ
[4:15:13] smornsrismorn: 555555555
[4:15:13] boatboat25455: เล่นแบบนี้ดักทุกปั้มตอนอุ้มละก็รอระเบิดมันจะสนุกหรอ
[4:15:14] ShibieKun: งงนะๆ
[4:15:14] over_past: 11k
[4:15:15] gunninix: Vol คือการรักชีวิตตัวเองครับ
[4:15:16] pawichxlife_: งี้กูดักทุกปั้ม ไม่ต้องอุ้มเอ๋อกันละ 55555
[4:15:16] uuuu7777777777uuu7uu7u77u: 11k
[4:15:17] sunitra11: เหลือง
[4:15:18] REALITY_DXD_GOD: พี่ออฟมาเอง
[4:15:18] wrkchlkh: โทอึ
[4:15:18] bungkim: ใจถึงไม่มีคำว่า PG ครับ
[4:15:20] nnitsupa: LUL LUL
[4:15:20] arlan_4: Vol ไง ไม่รักชีวิต
[4:15:20] kengna4509: FootYellow FootYellow FootYellow
[4:15:21] minggoooooo: ร้อนจี๋เลยยยยยยยยยยย
[4:15:21] bank_rock101: ใช่
[4:15:21] ten14301: value of life ก็ต้องมานะครับ ต้องรักชีวิต แต่มาถึงชนปั้มเพื่อให้ตัวเองตายก็ผิดนะ
[4:15:22] AUMMMMMMM_: ความปวดฉี่เป็นเหตุ
[4:15:22] oat_liberty: ใช่ๆ
[4:15:23] earthperayoot: ถามออฟ
[4:15:23] jimmis3v: ใช่
[4:15:23] babysicklll: เหลือง
[4:15:23] pongsakornsss: ไมาสนจริง
[4:15:23] beltly: ไม่มีpgแต่มีVolนะ
[4:15:24] chxc0late: ถูก
[4:15:25] ga_nathaniel: ใช้
[4:15:25] bololax_blx: vol ไง
[4:15:25] tony_hoonigan: pgคับ
[4:15:25] 9twz_ball_zz: FootYellow
[4:15:26] ボスクン: @reality_dxd_god ดีพี่
[4:15:27] raksapum: @pawichx_ จริง
[4:15:27] little_ww: จริง
[4:15:27] wa_sitthichai_rbz: พี่อย่าหย่อนนนน
[4:15:27] taurusmag: ใช่
[4:15:28] kasideth: ใช่
[4:15:28] a_zero_one: ต้องโดนแล้วลุง
[4:15:28] give_up_l: @pawichx_ LUL LUL
[4:15:28] fah_js: มันตั้งใจเกินอะ
[4:15:28] phailinlin: ใช่ๆ
[4:15:29] 9ford9m: จริงครับ
[4:15:29] tinnapop789: ชุปเปอร์ฮีโร่ กลายเป็นโกโก้ครั้น
[4:15:29] MARKVery: ใช่pgเลย
[4:15:29] maneerut1121: ตายเกลื่อน
[4:15:29] boatchaiwat: ใช่
[4:15:30] dose_p26: แก้ให้ปั้นชนให้ระเบิดไม่ได้หรอครับบบบบบบบบบบบบบบบบบบบบบบบบบบบ
[4:15:30] 3rownkuppp: ตั้งใจชนเลยอะ
[4:15:30] johnweed4: PG
[4:15:30] gethigh_allday: ไม่มีpg แต่มี VOL
[4:15:30] an_an1999: FootYellow FootYellow
[4:15:30] bluehcvg: ต้องกระโดด
[4:15:30] polop1122: vol
[4:15:31] rung_781: ใช่
[4:15:32] sky_bell37: ใช้
[4:15:32] lil_jajajetmae: @pawichx_ จริงครับป๋า
[4:15:32] shon_dohee: ชิบะยื่น1ยื่นตึงเรื่องกลัวpg
[4:15:32] mikcrof: คือเรียกเพื่อนมาแล้วชน
[4:15:32] tourr5: คนดู10K
[4:15:32] superman48: ใช่ครับ
[4:15:33] dusitmax: แล้วย้อนไปดูแล้วถามแบบนี้ไม่ mg หรอ
[4:15:33] bxbymxxn: ไม่รักชีวิตงับ
[4:15:33] 19__ning_d: มันก็มีการทำเเบบนี้เลือยๆ
[4:15:34] meksizebig: ดักทุกปั้มก็ไม่ได้เล่นดิ
[4:15:34] torjjll: เวลาเราโดนอุ้มต้องดักปั้มแล้วปะ StinkyGlitch StinkyGlitch StinkyGlitch
[4:15:34] boymg00: พี่xบอกต้องมีโดด
[4:15:35] oat_liberty: กะเอาตายเลย
[4:15:35] p_gams: ไม่รักชีวิต
[4:15:36] VAGoDWtK: @pawichx_ 555ป๋าขึ้นเเละ
[4:15:36] anaaaaaaaaaaaav2: 11.1k
[4:15:36] natakorneiei: ถามพี่เอ็กได้มั้ยคับ
[4:15:37] REALITY_DXD_GOD: @bosskung777777 ดีคับบอส
[4:15:37] nuttakrit1: คือไม่ควรมาเล่นแบบนี้อ่ะ
[4:15:38] nighthub29: นั่งอยู่2คนไม่ลอด2คนเลย
[4:15:38] ozaza_: ต้องเรียกแอดมิน
[4:15:38] Poo_09: มันเกินไปครับ
[4:15:39] germa_rkd: อย่าหาทำ
[4:15:39] azszlook: จงใจเมื่อกี้
[4:15:39] BaByGoD98: ทายผลเมื่อไหร่จะออกผลอ่ะ
[4:15:41] sittinan_42: มันเจตนาเลยลุง
[4:15:42] millmevius: ตอนผมไปสอบ ตร K เคยถามอยู่ครับในตอนสอบเเก๊ง
[4:15:42] kennoiz_5592: VOL ไงครับลุง ไม่รักชีวิต
[4:15:43] babybigtoonx2: พุ่งไม่สนชีวิต 5555
[4:15:43] ボスクン: สนุกแน่ถ้าชนได้แบบเต็มแรง
[4:15:48] BungBunnySSS: ลุงเคยบอกแล้วใช่ไหม
[4:15:49] slothgamlng: Pg
[4:15:50] masiolili: คือไม่รักชีวิตอะ
[4:15:51] ha_na_mi_: ดักรอไม่ตั้งใจได้ไง rebirthztvHaha rebirthztvHaha
[4:15:52] per445566: ถ้าไม่ยอมก็โดนยกแก๊ง
[4:15:53] floydelive_: ไม่ได้
[4:15:55] M0H0O: PG
[4:15:55] CHICK_KA_DOOD: ถ้าไม่pg งั้นแก๊งคนเยอะก็ไปดักทุกปั๊มคือจบเลย
[4:15:55] wa_sitthichai_rbz: ไม่ลงรถ
[4:15:55] brightgamerkung__: พุ่งทีเองต้องตาย555
[4:15:57] maiiiiiiiiiiiiii_: เต๋อยลูกกกก
[4:15:58] dewphuket: กุไม่สนโลกแลัวโลกก้ไม่ต้องมาสนกุ อ้อ55555
[4:15:59] evilblackguy009: ไม่ได้
[4:16:00] buberbe: Pg ชัดๆ
[4:16:01] Baphometz6: เรียบร้อยฮะ55555
[4:16:01] tannyakm: rebirthztvLucas rebirthztvLucas
[4:16:01] wnydboyy: ไอ้เต๋ย55555
[4:16:04] dose_p26: เคยโดนเคสนี้แล้วไม่ใช่หรออออคุยแล้วนิ
[4:16:04] boatboat25455: เล่นแบบนี้ดักทุกปั้มตอนอุ้มละก็รอระเบิดมันจะสนุกหรอ
[4:16:05] exblackniex: Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 ให้พี่เอ็กเอาเหล็กมากันไว้ไมคับ
[4:16:06] saifa_m: เขารีบ
[4:16:06] bang_kimi: เต๋อยยยย
[4:16:06] pandamdby: @pawichx_ มันก็ดักได้น่ะพี่แต่ไม่ควรพุ่งชนแบบนี้
[4:16:10] art_ter56: rebirthztvBad_FB
[4:16:11] evilblackguy009: เล่นแบบนี้
[4:16:11] basnatapat: กฏประเทศเทศมีครับ ต้องรักชีวิตเราก่อน
[4:16:13] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[4:16:15] colazaaa: ตามเกม
[4:16:16] tar_stc: ใช่งั้นต่อไปเวลาอุ้มกัน ไปรอปั้มรอชนก็พอละ555
[4:16:17] yhong_suttiengsut: เต๋ยเป็นสาย
[4:16:17] dose_p26: แล้วสรุปยังไงอะ เคลสเก่าก็มีนิๆๆๆๆ
[4:16:18] kamonwal44: ใช่ๆตามเกม
[4:16:19] sorryprettyboiid: power gaming
[4:16:19] little_ww: ต้องตามตร.แหละ
[4:16:19] babananaz: ลองให้เขาดูคลิปก็ได้
[4:16:20] 2sense28: YouDontSay YouDontSay YouDontSay YouDontSay
[4:16:20] animel3oat: ถ้าโดดลงปล่อยรถไหล ก้ไม่น่าเกลียด
[4:16:22] superman48: 55555
[4:16:23] sai_pk: ใช่ๆ
[4:16:24] pongsakornsss: เพื่อ
[4:16:24] topnook: ใช่ค้าบ
[4:16:24] wanfaron10: สองคนด้วย
[4:16:24] uraku01: 10K
[4:16:24] 1shiryu: เทค 2อย่าลืมเช็คของเช็คประกันด้วยนะ
[4:16:25] nineky01: ต้องตามเกมคับ
[4:16:26] 42OOG_: ตามเกม
[4:16:28] golf225533: ตามเกมเลย
[4:16:29] zuper4tv: สองอย่างเลยนะ pg กับ value of life
[4:16:30] athit456113: NotLikeThis NotLikeThis NotLikeThis NotLikeThis
[4:16:30] Guitarete: รักโลก อุ้ยผิด
[4:16:30] PBallEiei: น่ะ
[4:16:30] secretboy_______: 2 ศพ5555
[4:16:31] AUMMMMMMM_: โทอิ นัววๆ
[4:16:31] parkhwayeon: มีคลิป คนดู10kนะเว้ย
[4:16:32] newgenh: ชนเล2โต๋ย
[4:16:32] MaithaiJaitawan: LUL LUL
[4:16:32] evilblackguy009: มีคลิป
[4:16:32] shotggez: ศพยังอยุ่7นาที
[4:16:32] Davicii999s: แจ็คแค่สกิด รถมันด่าแจ็คน่าเกลียดแต่ดูมันเล่นสิทุเรศจัดดด
[4:16:33] M0H0O: พุ่งชน แล้ว ทำเป็นถ่ายรูปลง ปัดโธ่
[4:16:33] menzzzzzz23: เทค2 55
[4:16:35] apolloseeyou: บ๊อบเป็นตำรวจหรอ
[4:16:35] a_zero_one: ทำกงปิดเลยลุง
[4:16:36] ziponemy: ต้องโดดลงรถปะ
[4:16:36] lil_jajajetmae: โดดได้นะโล่งมากก
[4:16:36] ztrxask: รักชาติจัดๆ
[4:16:38] Baphometz6: FootYellow LUL LUL
[4:16:38] masiolili: ใช้ต้องตามเกม
[4:16:38] marutthongmakza: ตามเกมไปครับ
[4:16:39] bellminpo27: น่าเกลียดเกินเล่นงี้5555
[4:16:39] bigmoutten: เข้ามาเเทงก็ตายเเล้ว
[4:16:39] VAGoDWtK: 55555เค้าร้องเเน่หละไมล์เยอะด้วย
[4:16:40] r5r5live: ผมนึกว่าเอาชนปั้มออกไปแล้ว
[4:16:40] zazazab123: 55
[4:16:40] PhakX_: ไม่คุยข้างนอกค้าบ
[4:16:41] luv_u12: พนันเทค2ได้ป้ะ55555
[4:16:41] anaaaaaaaaaaaav2: เบาเเชบบบบบบบบบบบ
[4:16:43] dose_p26: เคลสนี้จำได้ลุงก็เคยเจอมาก่อนนิ
[4:16:43] sai_pk: เเชทต้องใจเยนๆนะ
[4:16:43] connxrrg_: !uptime
[4:16:43] little_ww: เล่นน่าเกลียดแต่ก็ทำไรไม่ได้ ต้องตามเกมไป
[4:16:44] Nightbot: Stream uptime 4 hours, 17 minutes, 3 seconds
[4:16:44] tan_888: มันเล่นไม่โดดเลย
[4:16:44] Arsura6: ถ้ารถไหลเหมือนที่ลุงเล่นอะน่าจะได้
[4:16:44] james_sjames: @sepalm pg เอาออกไปแล้ว
[4:16:44] px1m2xxx: โทมัส
[4:16:45] altitude89: รอฟังตร.
[4:16:45] nannnniiiiiiii: เกิน
[4:16:46] meyouje3010: ชุบๆๆๆเพือนเราตายแล้วเราต้องชุบ
[4:16:48] ARm_rm: สู้ๆๆงับ
[4:16:50] p_gams: รักชาติเเต่ไม่รักลุง5555
[4:16:50] natakorneiei: เเร๊พคือno.1
[4:16:50] per445566: สองคนด้วยนะ
[4:16:51] armxcix: พุงชนไม่พอไม่ลงรถด้วย
[4:16:52] hachimaryuu: เขาก็จะพูดว่าทำไมไม่ประกาศเป็นกฎออกมาเลย
[4:16:52] chatpet_phet: มันต้องรักชีวิตและไม่ทำอะไรที่คนธรรมดาปกติไม่ทำ
[4:16:53] tankbeer1: เหล็กก็เอาไม่อยุ่จังหวะนี้5555
[4:16:53] bio_beta: ดีนะ ควรมีเหล็กกันปั๊ม
[4:16:53] paloxZx: แค่โดดกะจบละ5555สงสัยรีบไปหน่อย
[4:16:53] 007_ggggggg: ถ้ายังงี้ก็เกินนะครับลุงผมว่า
[4:16:54] 111224k: Uptime
[4:16:54] kriangkai11: ผมว่าเข้าร้อง
[4:16:54] maneerut1121: พอๆเบาคุยเเล้วววว
[4:16:54] MeAw_MaN: ดูประเทศเดียวกันบ่หนิ
[4:16:56] suwinpat: ไม่ต้องเทค2หรอกยังไงมันก็เอ๋ออยู่แล้ว
[4:16:57] TkTaz: 555555555
[4:16:58] meyouje3010: พอๆๆ รอเขามาาา
[4:16:59] a_zero_one: ทำกงปิดตู้เลยลุง
[4:17:00] nuttakrit1: ใครร้องบอกไม่มี PG ไม่มีก็เซิฟเละดิครับ เล่นกันยังไง
[4:17:00] fah_js: ถ้าแบบบจะโดดรึประตูเปิดเหมือนจะโดดนี่ไม่ว่าเลยนะ แต่นี่แบบตั้งใจชนเกิน
[4:17:01] inuzukaz_: รอฟังงับ
[4:17:02] somruethxi: ลุงใจเย็นมาก
[4:17:03] Koken420: พอไปครับ
[4:17:03] wanfaron10: !uptime
[4:17:04] Nightbot: Stream uptime 4 hours, 17 minutes, 23 seconds
[4:17:04] little_ww: โอเคค่ะ
[4:17:04] golf_1977: ถ้าพุ่งชน แล้วโดดออกไม่ตายไม่pg
[4:17:06] Oasis_Live_Forever: FootYellow
[4:17:06] anawinwin: เขาร้องแน่ล้านนึงง
[4:17:06] purple_moon_iusupczz: รอฟังตำรวจ
[4:17:07] fiaut11: คนเล่นไม่ร้องคนร้องไม่เล่น
[4:17:09] ztrxask: เทค2มา
[4:17:09] Maxkyboi: LUL
[4:17:09] nopporn_01: คนดูหมื่น
[4:17:09] ボスクン: ชนให้ตายกันไปข้างสนุกแน่ พี่ไทยรอล้าาาาาา
[4:17:10] pobmol: ไปห้องน้ำกูแตก
[4:17:10] golfsky_tv: ชนปั้มนครบาลเคยโดนสิคับ
[4:17:11] superman48: 55555
[4:17:11] nzt_karov: 5555
[4:17:12] yo_thanawat: 55555
[4:17:13] pongsakornsss: 555555
[4:17:13] M0H0O: 55555555555
[4:17:14] chatpet_phet: มาสอง
[4:17:14] tanyong_999: DarkMode
[4:17:14] johnweed4: PG
[4:17:15] dusitmax: ใช่แล้วย้อนไปดูแบบนี้ไม่ mg หรอตามหลักไปฉี่กลับมาตายไม่รู้เหตุการณ์ แชทบอกแล้วย้อนไปดูมันแฟร์จริงๆหรอ
[4:17:15] moskorawich: เมื่อก่อนเราตีกับนครบาล เคยทำกัน พอทำแล้วเขาก็ตั้งกฎมาไง ทำไม่ได้
[4:17:15] huhuhuuuuuuuu: ลุงยอมอีกแน่เลยอ่าาาาา
[4:17:15] little_ww: 5555
[4:17:15] give_up_l: ครับผม
[4:17:15] kasideth: 555555555555555555555
[4:17:16] toby_ming: Kappa
[4:17:17] boymg00: เอาอะไรมาโดดก่อน555555
[4:17:17] 42OOG_: rebirthztvB rebirthztvB rebirthztvB
[4:17:17] fahhz: Kappa
[4:17:18] WinzBusy: 555555555555
[4:17:18] MURCIA_sear: ไม่โดนแน่นอน
[4:17:18] taurusmag: 5555
[4:17:18] corazon_996: เดียวเขาก็ร้องอีก
[4:17:18] iimarkzz: พูดดักเขา เขาก็ไม่พูดอะดิ 555
[4:17:19] t3025: แล้วแบบนี้แจกใบไหมครับ
[4:17:19] ARm_rm: เอ๋อปะหรือไม่เอ๋อ
[4:17:19] Running_31: จบละ555
[4:17:19] Kekeopop: แร็บมายฮีโร่
[4:17:20] goodday0183: ตัังใจชนเลยแหละ
[4:17:20] farafirstll: 5555554
[4:17:20] saifa_m: เอาเป็นว่าลุงถูกเรื่องจบ
[4:17:20] babyalone018: 55555+
[4:17:20] padkapoa: 555555
[4:17:20] markoconner: หงุกๆ
[4:17:20] cutewav: อย่าสั่งงง
[4:17:21] evilblackguy009: เอาคลิปให้ดูดิลุง
[4:17:21] tors1191: กูรักชาติ
[4:17:22] gotadisorn: ทำท่ากระโดดให้ชื่นใจหน่อยก็ได้
[4:17:22] winstontiny: มันตายคู่ตรงที่ระเบิด
[4:17:23] james_sjames: @nuttakrit1 ก็ลองไปถามแอดมินเอานะครับจะได้รุ้
[4:17:23] phailinlin: 55555
[4:17:24] PaoYingShul3: ลองดูสิเขาจะพูดว่า
[4:17:24] oat_liberty: 5555
[4:17:25] kasideth: นอนข้างๆเลย
[4:17:26] songkranss: มีหมอ
[4:17:26] onionsobig: เทค 2 ถือ เป็น oc ครับ
[4:17:26] kodchathorn: เถียงคนดูเป็นหมื่นคือสุด
[4:17:26] Arsura6: เข้10k
[4:17:26] bstarkungg: หมื่นคนเป็นพยานน55555555555555555
[4:17:29] thanakit_q: สตรีมเห็นอยู่
[4:17:29] fonsubchaa: เขาเถียงแน่นอน 555555
[4:17:29] dodtbanni: แต่,มเห็นรถมันไหลช้าอยู่้นะแต่ไม่รู้ว่าโดดป่าวววว
[4:17:29] nasruddeen3536: จะโดนใบป่ะ
[4:17:29] ta_guy: ผมว่าเทค2 100%
[4:17:29] VAGoDWtK: 55555ตู้มมๆมๆมๆมๆมๆม
[4:17:29] JenniePond: ไม่ลง
[4:17:29] tankbeer1: 55555
[4:17:30] Anakin_XD: ผมก็เฉยๆ แล้วแต่ตร.ครับ เพราะไม่แทง 55555555
[4:17:30] fan_club: เห็นใจเขายุนะช้วยเพื่อนเขาอะ
[4:17:31] deen9628: เจอเอ๋อล้าด้วย55555
[4:17:31] Frame__xx: รอฟัง ไอแชทบื้ออ
[4:17:31] najalove1: jackey9JackeyLOL jackey9JackeyLOL jackey9JackeyLOL
[4:17:32] anaaaaaaaaaaaav2: 55555
[4:17:32] Tui_aYoG: เต๋อยลุ้งงงงงงงงงงงงงงงงง
[4:17:32] Poo_09: มันก็เกินไปครับ5555
[4:17:32] aouaou01: พุงเต็มที่อะ
[4:17:34] txey_t: 655545
[4:17:34] 42OOG_: ทามมิ่งดีเกิ้น
[4:17:34] pongsakornsss: ไม่มีโดดอะ 5555
[4:17:35] K3nNicolai: รอง x ขายของครับ
[4:17:35] babananaz: เราก็มีหลักฐานให้ตำรวจดูประกอบการตัดสินใจก็ได้
[4:17:36] purple_moon_iusupczz: เราต้องตามเกม
[4:17:36] anas_ut: ตามนั้นลุง555555
[4:17:36] Zondamaster: ก็ภาพก่อนสลบมันเห็นว่าไม่โดดไง 55555
[4:17:38] HarryPottereiei: ++
[4:17:38] monz_03: ไม่ลงเลยลุง
[4:17:38] krittin199: ไม่ลง
[4:17:38] thanapol2507: คนดู หมื่น4ร้อยย!!!
[4:17:38] barron7x: ใช่
[4:17:39] meyouje3010: ถูก
[4:17:39] golf225533: ไม่ได้ก็เอาใหม่แค่นั้น
[4:17:39] w__o__r__k: เล่นอย่างงี้กฏไม่เอาแล้วว
[4:17:40] art_ter56: ตู้มมมมมมม
[4:17:40] s_i_r_f_i_l_e: แชตๆ
[4:17:40] t3025: แล้วแบบนี้โดนใบไหมครับพี่เอส
[4:17:41] macl3aa: มันนอนตายข้างลุง555
[4:17:41] voykung123: 10000คนเห็น
[4:17:41] sarayuthphila: เปิดย้อนหลังให้ตำรวจ
