[0:00:52] ぱすたっ: 早起きえらいだ
[5:32:53] ふぁいぴ: ｗ
[5:33:08] rfa9: 唇噛んでないよね・ｗ
[5:35:30] abyss209: うっひょ〜
[5:35:39] ri_nemuri: うめえー
[5:36:49] ふぁいぴ: お医者さん帰ったあとにｗ
[5:37:50] orange_seed: アーマー持たなくて大丈夫ですか？
[5:37:51] スギヒロ: 本来は牢屋の外からやらないといけないからなーｗ
[5:41:05] ri_nemuri: ｗｗｗ
[5:41:26] ロジーー: なんかイケメンやな
[5:41:36] Himawari_252: www
[5:42:01] ri_nemuri: あれ？ｗ
[5:42:16] ロジーー: なんかほんめー貰ってそうな顔してるなぁ
[5:42:47] Himawari_252: チョコもらっちゃったw
[5:45:28] funibo: コメット帰ってきてないかな
[5:46:46] fukutoto: w
[5:47:13] キーア: ぼろぼろだぁ
[5:49:59] funibo: 慣性かなぁ？
[5:50:56] キーア: ｶﾁｶﾁｶﾁｶﾁｶﾁ
[5:51:25] Himawari_252: かわいいw
[5:51:26] ふぁいぴ: かわいいな
[5:52:12] キーア: ながいなwww
[5:55:03] ふぁいぴ: まっずいです
[5:55:21] キーア: キモセンがロストしなければワンチャン
[5:55:23] ロジーー: これはだめかな
[5:56:34] ロジーー: いた
[5:56:47] funibo: 流石に限界
[5:57:13] ロジーー: 車やばいね
[5:57:20] ふぁいぴ: もくもくや
[5:57:29] Himawari_252: ヘリが追えたらいけますね
[5:57:32] キーア: 今走ってるのすら限界
[5:59:13] funibo: gg
[5:59:25] Nightbot: Twitter:https://twitter.com/R6S_guilty
[5:59:31] キーア: ダメな場所入っちゃった
[6:00:35] ロジーー: まああの状態で追っても辛かったし良かったかと
[6:02:52] キーア: これビゲロなんだ
[6:03:11] goigo2go3: ビゲロとコメットだったら？
[6:04:16] ロジーー: 仲良い二人だな
[6:08:23] ri_nemuri: ｗｗｗｗ
[6:08:29] Himawari_252: 面白い犯人だw
[6:10:12] t4su_kun: 溶けてるなぁ
[6:10:16] ゴマゴ: 溶けてるー
[6:10:17] キーア: とけてるぅ
[6:12:09] ri_nemuri: きれいなジャンプだった
[6:17:08] Himawari_252: ビゲロいいですね〜
[6:17:59] 草槍: メカニックならではの知識
[6:21:47] キーア: www
[6:22:01] ri_nemuri: 盗難車フルカスｗ
[6:22:03] funibo: ボーナス対象かｗ
[6:22:04] ふぁいぴ: すごいことしてるな～
[6:22:20] ri_nemuri: ｗｗｗｗ
[6:22:22] スギヒロ: 30億勝ってるから余裕なんだろ…ｗ
[6:22:56] fukutoto: 皇帝...
[6:23:59] fukutoto: 即アタック
[6:24:54] funibo: wwwwwww
[6:24:58] ri_nemuri: ｗｗｗｗｗ
[6:25:08] Himawari_252: さすがに量かww
[6:25:09] キーア: あなたが呼んだからw
[6:25:12] スギヒロ: スピンしまくりではあるｗ
[6:25:43] funibo: はっやｗ
[6:26:36] funibo: 事故率たけぇ
[6:27:13] キーア: 一回転w
[6:27:22] スギヒロ: 1回、スピンしたらほんとおわるなあｗ難易度たかいｗ
[6:27:36] fukutoto: 溶けすぎw
[6:28:48] スギヒロ: 追跡中に、溶けなくてよかった
[6:29:17] NandemoE: バイクかヘリ居ないときついか
[6:29:18] ginji_unlimited: コーナリングの性能が良さそう
[6:29:22] funibo: コメットやっぱスピンし易いなぁ
[6:29:30] Nightbot: Twitter:https://twitter.com/R6S_guilty
[6:30:27] NandemoE: 加速と直線はコメットのが速いからね
[6:30:44] fukutoto: そうなると仲間の動きを予測して運転するしかないけど実際無理だよな
[6:35:22] スギヒロ: 余計に見つけられなくなる可能性があるのか…
[6:37:04] fukutoto: 飯テロ罪
[6:37:14] funibo: お？戦争か？
[6:37:14] いつき優: ネギも欲しい
[6:37:34] fukutoto: 朝ならしじみ欲しい
[6:38:16] ふぁいぴ: もうネギアンチやん
[6:38:20] funibo: 入れないほうが珍しくないか？
[6:38:44] fukutoto: ww
[6:41:23] ri_nemuri: ？
[6:42:08] fukutoto: ...
[6:42:39] よくすい: 実家ではなく？
[6:42:53] fukutoto: 毎日使うから安くね
[6:43:53] funibo: それ1件なくなる
[6:44:54] スギヒロ: 刺さる人がｗ
[6:45:20] fukutoto: 刺さってるw
[6:46:01] fukutoto: 煽りw
[6:46:22] nabe045: 運命の一劇たまんねぇよなぁ〜
[6:46:35] ri_nemuri: ｗｗｗ
[6:46:40] ふぁいぴ: 荒いなあｗ
[6:46:49] スギヒロ: 上位にいれないとなぁ…ｗ
[6:46:58] Himawari_252: いい声だw
[6:47:06] ロジーー: ネルさんもっとやれｗ
[6:47:15] よくすい: ギャンブラー？
[6:47:21] ふぁいぴ: スロカスの集まりになってきた
[6:49:34] ri_nemuri: ｗｗｗｗｗ
[6:49:53] fukutoto: トイレw
[6:50:33] 綾野りんご: こんぎる～ファイティン
[6:54:59] 綾野りんご: しれっと逃げてる
[6:55:30] スギヒロ: 援護射撃でも来ない限りきびしそうだけど・・・
[6:56:10] スギヒロ: ノーリミｗ
[6:57:11] 綾野りんご: 引き殺してて草
[6:57:54] 綾野りんご: ギルくんナイス
[6:58:25] スギヒロ: かたかったなーｗ
[6:58:31] キーア: なすー
[6:58:46] 綾野りんご: ナイス～
[6:59:27] Nightbot: Twitter:https://twitter.com/R6S_guilty
[6:59:28] 綾野りんご: 車ボロボロなのでは？
[7:03:11] ロジーー: 撃ってくるか
[7:03:13] よくすい: いたねー
[7:03:21] よくすい: nf
[7:03:26] fukutoto: nt
[7:03:46] 綾野りんご: どまです
[7:03:48] ロジーー: あれだけ時間稼ぎしたのはそういうことか
[7:03:52] fukutoto: 誰も押さえてないし
[7:04:50] ロジーー: 車もきつかったし仕方ないね
[7:05:17] スギヒロ: ギャングにも色があっておもしろい
[7:05:39] 褒めらにあん: 配置と誘導がうまかった
[7:06:40] fukutoto: 安全そう
[7:06:45] ロジーー: 一部が強くなりすぎても難しそうね
[7:07:45] はっこ310: 全滅かな？
[7:08:48] fukutoto: ここらは救急隊呼べそうだな
[7:08:58] スギヒロ: えまたそのFF10でもみた？ｗ
[7:09:05] fukutoto: w
[7:10:27] よくすい: 個人医きたかな
[7:11:46] ロジーー: 新人さんかな？
[7:11:58] ロジーー: 大変そうだ
[7:12:02] 綾野りんご: 声かわいいな
[7:13:00] fukutoto: wwwww
[7:13:01] 脚立王子: 単位よ
[7:13:06] rabbitaly: wwww
[7:13:17] 綾野りんご: 多すぎ
[7:13:58] fukutoto: ww
[7:15:38] 綾野りんご: ヘリワンパンって迫撃砲レベルやん
[7:16:04] fukutoto: 思えば警察って各種ディーラー多いな
[7:17:01] スギヒロ: 警察の残ってる人がんばれー
[7:18:49] ロジーー: 今日はボコボコやなぁ
[7:18:56] ロジーー: ついてない日
[7:19:11] スギヒロ: きづい・・・ちゃった・・・？
[7:19:20] ロジーー: んー
[7:19:29] funibo: 今のところ銃のほうが検挙率圧倒的に高いな…
[7:19:37] ロジーー: この世界ではそんな館jいするな
[7:19:49] fukutoto: 実際チェイスも最後テーザーだし
[7:20:09] ロジーー: 乗り物は上手い人が多いから相対的に・・・って気がする
[7:20:34] スギヒロ: ゴミ箱をあさるｗ
[7:21:02] スギヒロ: せめて血痕を・・・とってるふりでゴミ箱あさりｗ
[7:22:35] スギヒロ: 経理の人出勤かｗ
[7:22:47] ふぁいぴ: 割りと熱
[7:24:35] funibo: マックが警察署出入りしてる件については問題ないのか･･･?
[7:25:04] ToppingPP: ちゃんといくらもらったか署長に言うのよ～
[7:25:09] ロジーー: おー
[7:25:36] fukutoto: これ汚職にならないよねw
[7:25:59] ロジーー: ｗｗ
[7:27:57] ロジーー: ｗｗｗｗｗ
[7:28:01] fukutoto: それは wwwww
[7:29:06] ふぁいぴ: いたずらおじさん
[7:29:18] goigo2go3: ただただ優しいだけ
[7:29:24] fukutoto: これ誰のバイクだろ
[7:29:36] Nightbot: Twitter:https://twitter.com/R6S_guilty
[7:29:58] ロジーー: いいタイミングだったなぁ
[7:30:16] ロジーー: 特徴のある人だしｗ
[7:33:49] ロジーー: アンブレラ・・・
[7:34:21] fukutoto: まあ店の中で騒がないしかないw
[7:34:40] ロジーー: はじめてみたな
[7:36:01] ssss4121: んおー
[7:36:03] ロジーー: けい・・・おー
[7:36:06] ri_nemuri: んおー
[7:36:11] ふぁいぴ: んおー
[7:36:11] latch18: んおー
[7:36:11] funibo: んおー
[7:36:16] ロジーー: んおー
[7:36:28] ロジーー: 新しいあだ名できたな
[7:37:02] ロジーー: ｗ
[7:37:07] ssss4121: www
[7:37:16] ロジーー: 眠たいのがよくわかる
[7:37:34] fukutoto: 裏か
[7:38:00] ロジーー: ピーキーすぎるんやろね
[7:40:18] fukutoto: ナイス
[7:40:50] ロジーー: 最後手あげてたなｗｗｗ
[7:41:59] ロジーー: もう一人上にいなかった？
[7:42:40] ri_nemuri: ｗｗｗｗ
[7:42:40] ロジーー: ｗｗｗｗｗｗ
[7:42:42] ふぁいぴ: なんでいるのｗ
[7:42:42] funibo: wwwwww
[7:42:45] fukutoto: wwwww
[7:42:57] ri_nemuri: マックさんだしいったんええかｗ
[7:47:19] fukutoto: 位置いいな
[7:47:52] ri_nemuri: うま！？
[7:47:58] fukutoto: ヘリ逃げた
[7:49:40] ri_nemuri: ｗｗｗｗ
[7:49:44] ふぁいぴ: 生物きた
[7:49:54] fukutoto: 大川さん？
[7:49:55] funibo: ガチで馬で来たｗ
[7:50:03] ssss4121: なんでこいつ馬乗ってるんwwww
[7:53:50] funibo: nt
[7:53:51] ロジーー: 強かったなぁ
[7:53:53] ふぁいぴ: nt
[7:53:54] ゴマゴ: おしい！ナイファイ！
[7:54:12] ssss4121: wwwww
[7:54:14] marmot1123: wwww
[7:54:15] 褒めらにあん: いたぁいwwwwww
[7:54:16] はっこ310: wwwww
[7:54:17] fukutoto: wwwww
[7:54:18] paseri0118: あまりにもオーバーキル
[7:54:22] ふぁいぴ: ぼこぼこやあ
[7:54:24] funibo: もうダウンしてますｗｗｗ
[7:54:39] maricococosan: またぼこぼこになってしまった
[7:55:06] ロジーー: 呼んでも良さそうかな
[7:55:25] ロジーー: ｗｗｗｗｗ
[7:55:28] ktn5629: オーバーキルすぎるwwww
[7:55:32] ロジーー: うそでしょｗ
[7:55:41] ktn5629: 何回ひかれんだwwww
[7:55:49] fukutoto: 貫通w
[7:55:54] 褒めらにあん: 痛いよぉ;;;;
[7:55:56] はっこ310: https://clips.twitch.tv/AgileIgnorantSlothWholeWheat-fUhPAAGEh5EEW4Zf
[7:56:21] ktn5629: クリップきたwww
[7:57:31] ロジーー: きびしい！
[7:57:46] fukutoto: これ狙いなら上手い
[7:58:25] fukutoto: ユニオンは無理だ
[7:58:56] fukutoto: 今のダウン組は
[7:59:37] Nightbot: Twitter:https://twitter.com/R6S_guilty
[7:59:39] スギヒロ: ぎんさんきたー
[8:01:17] fukutoto: がみとも
[8:01:20] fukutoto: w
[8:05:24] スギヒロ: MonDがもってそうだなｗロケラン
[8:05:36] fukutoto: JTSに誰かいるからね
[8:10:49] funibo: 読まれてたかぁ
[8:10:56] paseri0118: 装甲車かぁ
[8:10:56] スギヒロ: 装甲車は抜けないからなぁ…
[8:11:00] fukutoto: 外の弱いところ突かれた
[8:11:01] はっこ310: 装甲車か
[8:11:09] 褒めらにあん: なるほど降りちゃダメなのか装甲車だと
[8:11:27] スギヒロ: 普通にぶつかっても負ける。爆発物じゃないと…
[8:11:32] fukutoto: グレかロケラン
[8:11:52] 褒めらにあん: でもタイヤ撃ちたいし難しい選択だ
[8:11:59] ri_nemuri: うま
[8:12:32] ロジーー: 誰も装甲者きいてないね
[8:12:40] megaflame35: むっずｗ
[8:12:41] dhisan_ino: これに爆発物当てるのむずそうじゃね・・？
[8:12:41] fukutoto: グレかロケラン
[8:12:42] スギヒロ: ロケラン
[8:12:46] はっこ310: ロケラン
[8:13:17] ri_nemuri: これマジで爆発系じゃないとだめなのか
[8:13:20] スギヒロ: だから、すなおに逃げるしかないんだよねぇ…
[8:13:26] fukutoto: もっと無理な事言うと、ピラーピンポイントに銃
[8:14:26] fukutoto: AピラーとCピラーを狙えば抜けるw
[8:14:32] スギヒロ: グレにぎりしめて、真下に落として自爆すれば…１チャンスあるかも？ｗ
[8:14:44] はっこ310: 装甲車って結局パンクするんかな
[8:16:26] ロジーー: 装甲来た時点で詰んでたね
[8:18:33] ロジーー: １つの戦いが長いなぁ
[8:21:17] ロジーー: 暇よね
[8:21:44] ロジーー: 裏で別ゲーしたくなるレベルやね
[8:24:20] はっこ310: おパイの実か
[8:26:31] はっこ310: パイの実すぐ無くなるのが欠点
[8:28:48] スギヒロ: きたー
[8:28:56] fukutoto: また上に行ってるw
[8:29:22] fukutoto: スーパーシャウトワンチャン
[8:29:28] Nightbot: Twitter:https://twitter.com/R6S_guilty
[8:29:46] fukutoto: きたー
[8:30:30] fukutoto: 薬むかつくな
[8:30:41] 褒めらにあん: ddosきちゃ〜〜〜
[8:30:44] fukutoto: w
[8:37:54] はっこ310: あり
[8:38:00] fukutoto: ファーム？
[8:39:38] つけ麺_: ファームすんの？
[8:39:57] funibo: 今日は退勤か
[8:40:14] ararara_tan: お疲れさまー
[8:40:52] funibo: 興が乗ったら続行と
[8:41:04] ロジーー: 週末に職場復活かな
[8:42:23] funibo: 見せてもらおうか。新しい家の性能とやらを。
[8:42:58] スギヒロ: でもついつい長時間やっちゃいそうではある
[8:43:04] ロジーー: ファームしてレモネード回収か
[8:43:14] はっこ310: リサセンで餓死しかねん
[8:44:39] funibo: ええとこ買ったな
[8:46:10] ロジーー: ロボコップ・・・通じるかな
[8:46:27] weygw_: 変わった趣味だなぁ笑
[8:46:51] ロジーー: まあ一種の病気やね
[8:52:01] fukutoto: これは月ノ島さんに教わってるなw
[8:53:37] いつき優: ファーマー二人ｗ
[8:53:40] ふぁいぴ: 同族の方かあ
[8:54:27] いつき優: 生き別れの兄弟なのでは？
[8:55:01] 草槍: このセカイ生き別れの家族多いからなぁ
[8:55:09] ロジーー: 割と近い趣向の人
[8:55:27] fukutoto: ソロファーマーは大体気が合うw
[8:56:27] ロジーー: 息抜き
[8:56:36] 草槍: 呼吸みたいなもん
[8:56:47] ロジーー: 何かになると思わないとやってられんけどなｗ
[8:57:19] ロジーー: レベルが上がる、金になる・・・そんなんかな
[8:58:06] 草槍: とりあえずスタッシュは全部埋める
[8:59:35] Nightbot: Twitter:https://twitter.com/R6S_guilty
[8:59:55] いつき優: 草
[8:59:57] fukutoto: w
[9:01:13] ロジーー: 辛くなったんかな
[9:01:17] 草槍: JTS何時から再開だっけ
[9:02:09] ロジーー: 月曜日か
[9:02:11] mekemeke33: 1週間長いねぇ
[9:02:15] 草槍: 月曜か
[9:02:45] ロジーー: これは設定悪い日
[9:02:57] ロジーー: これ１っすわ
[9:02:58] mekemeke33: この台渋い
[9:03:29] ロジーー: ４５６置いてないかもしれん
[9:03:57] ロジーー: 出たけど単発
[9:04:56] mekemeke33: 急にデレはじめたな
[9:08:00] ロジーー: どれくらいなんだろうね
[9:09:23] fukutoto: 10%だった気がする
[9:10:40] いつき優: www
[9:10:40] ロジーー: ｗｗｗｗ
[9:11:22] ロジーー: まあ普通そういう反応するよなｗ
[9:11:51] ロジーー: ストグラの良いところだな
[9:12:00] ロジーー: リサセンにも人はいる
[9:12:33] カクマルッ: ツッコミがいないとこんな空気になるのかw
[9:13:36] ロジーー: 知ってるな
[9:13:39] いつき優: 大喜びやんww
[9:13:39] fukutoto: なんかどこか聞いたことあるけど
[9:13:42] mekemeke33: ファンガだった
[9:13:50] ふぁいぴ: 嬉しそう
[9:13:57] カクマルッ: ｷｬｯｷｬｯ
[9:14:28] 草槍: 警察でメカニックでファーマー
[9:15:22] ロジーー: ｗｗｗ
[9:15:29] いつき優: 人増えたｗ
[9:15:40] kn1ght0113: who is the amogus
[9:15:59] 草槍: 今のリサセンはオイルと生臭そう
[9:16:15] mekemeke33: 中身がない…ちくわかな？
[9:16:39] いつき優: ｗｗｗｗ
[9:16:46] ぽろん__: wwww
[9:16:46] 草槍: そもそも手がない
[9:17:31] ロジーー: 姿を隠すのに完璧なんだな
[9:18:52] mekemeke33: 圧倒的メタスク不足
[9:19:40] マナさん: 今のところ変な人ではある
[9:19:51] mekemeke33: ファーマーの習性：とりあえず貯める
[9:20:05] ロジーー: やはり重症ではある・・・
[9:20:49] いつき優: 趣味ww
[9:20:49] ロジーー: あれは趣味か・・・？
[9:20:50] むべ助: あれは本能ではｗｗ
[9:21:16] ロジーー: 趣味でメタルスクラップ集めか・・・
[9:22:30] むべ助: メカも忙殺される警察
[9:23:09] いつき優: USBでももうちょいあるｗ
[9:24:24] いつき優: 三が日で人おらんかったな…
[9:24:55] ロジーー: あ
[9:24:59] mekemeke33: ええ
[9:25:01] マナさん: a
[9:25:03] ロジーー: リサセンもだめかぁ
[9:25:05] fukutoto: あ
[9:25:10] むべ助: 強制瞑想かぁ
[9:25:14] ふぁいぴ: ここでも強制瞑想入るんか
[9:25:42] ロジーー: でも話し相手いるのは良いな
[9:25:56] むべ助: オーバーヒートしてしまったか
[9:26:06] rabbitaly: ケインオーのOSが古すぎる説
[9:26:15] いつき優: 抑制されるのにも慣れた
[9:26:21] ロジーー: ９８か・・・
[9:26:35] mekemeke33: アプグレが必要か…
[9:26:39] ロジーー: 98知ってるのも問題な気はするが・・・
[9:27:13] ふぁいぴ: ダイヤルアップで通信してそう
[9:27:14] ロジーー: うちの会社でも98は見ないな。何ならXPももうないかも
[9:28:00] ロジーー: うわぁ
[9:28:14] ふぁいぴ: 人いてよかったね
[9:28:21] ロジーー: 人いて良かったか
[9:28:47] 草槍: 親切なお魚さんだな
[9:29:13] マナさん: あ
[9:29:13] ロジーー: おおお
[9:29:14] ふぁいぴ: 草
[9:29:15] rabbitaly: あ
[9:29:17] むべ助: 嘘だろおいｗｗｗ
[9:29:17] fukutoto: 落ちたw
[9:29:21] ロジーー: 出れただけ良し
[9:29:22] mekemeke33: まじかよお
[9:29:23] fukutoto: おいー
[9:29:26] いつき優: まじかww
[9:29:27] らいらい33: 世界から出れたｗ
[9:29:27] マナさん: 溶けまくってたからやばそうだとは思ったけどｗ
[9:29:28] Nightbot: Twitter:https://twitter.com/R6S_guilty
[9:29:30] ゴマゴ: 出れたのに！
[9:29:39] ロジーー: 何かの設定でどうにかならんかね
[9:29:47] 草槍: 出れたけどセカイからも出た
[9:29:49] ゴマゴ: ロスサントスからも出れた
[9:34:03] mekemeke33: 指名手配ｗｗ
[9:34:03] スギヒロ: 指名手配…？
[9:34:35] マナさん: 指名手配…？
[9:35:13] fukutoto: こないだ墜落したヘリとか
[9:36:09] マナさん: ｗｗｗｗｗ
[9:36:11] mekemeke33: ぎ、る
[9:36:18] ふぁいぴ: ぎ
[9:36:35] ayame_oxo: この人も100年後に居たもんなww
[9:37:32] マナさん: 法律アンインストールされたらここ血の海になりそうｗ
[9:37:34] 草槍: でもそうなったら目の前のものも破壊するんじゃ…？
[9:37:36] いつき優: ww
[9:37:49] fukutoto: 見た物を全て殺しそう
[9:38:04] いつき優: また味方にグレネード当ててクビになるんだよね
[9:41:08] スギヒロ: 変態だって
[9:41:20] スギヒロ: ロケラン…？
[9:41:43] fukutoto: ロケラン作ってたね
[9:41:45] ゴマゴ: 買えるしね
[9:41:58] むべ助: 不法投棄だ
[9:42:14] いつき優: 草
[9:44:31] fukutoto: 丘猫マルってこないだオルカさんとかとペールノエルに行った時にいなかったっけ？
[9:45:48] fukutoto: w
[9:47:20] mekemeke33: 大型取るの大変なんだな
[9:50:18] fukutoto: コンセルジュw
[9:50:27] マナさん: あとはNOLIMITか
[9:51:01] ロジーー: のーりみと縁がないな
[9:51:19] ゴマゴ: 警察ヘリは性能がなー
[9:52:24] マナさん: ヘリはマルチタスクすぎるからなぁ
[9:52:30] fukutoto: まじでやってる人3時以降の練習がえぐい
[9:52:52] ロジーー: 今日情報なくて、高速から撃たれたもんな
[9:53:33] マナさん: そろそろ3時の瞑想か
[9:53:49] ロジーー: 時間か
[9:54:09] いつき優: 気合
[9:54:10] マナさん: ちょい
[9:54:28] むべ助: いったんチルか
[9:54:39] fukutoto: ヘリなら
[9:55:00] fukutoto: w
[9:55:02] ロジーー: ｗｗｗｗ
[9:55:11] ふぁいぴ: なんかきたｗ
[9:55:21] むべ助: なんだァ？
[9:55:30] マナさん: stateに乗ってんじゃないの？
[9:55:33] megaflame35: ｗ
[9:55:40] ロジーー: 警察だしなぁ
[9:55:41] 草槍: 警察ステートからならいける
[9:56:03] ロジーー: メモ残してたんでは？
[9:56:11] すーすい: 情報漏洩はまずいですよ！
[9:56:22] いつき優: 電話番号売られてる？ww
[9:56:42] マナさん: どこかのトイレの壁とかに書かれてるんじゃない？
[9:56:58] fukutoto: いつもステートをメモしてれば
[9:57:21] むべ助: やっぱサイボーグは男のロマンだから…
[9:57:30] mekemeke33: 闇落ちフラグが乱立している
[9:58:31] ロジーー: 誰かと交換してからか
[9:59:02] ロジーー: まあまだ闇落ちは早い
[9:59:12] マナさん: 今思ったけどギルくん、VCR含めても黒いことほとんどしてないよね
[9:59:37] Nightbot: Twitter:https://twitter.com/R6S_guilty
[9:59:59] マナさん: ケインオー闇落ち？2キャラ目？
[10:00:03] むべ助: どこ入っても正直面白いよ
